 Date Time CO OZ NO2 CHX NO PM10
 30.11.12 12:00 0.07 ---- 0.18 1.50 0.05 0.01
 -------- 13:00 0.06 ---- 0.17 1.50 0.06 0.02
 -------- 14:00 0.07 ---- 0.19 1.52 0.07 0.02
 -------- 15:00 0.08 ---- 0.20 1.54 0.08 0.02
 -------- 16:00 0.09 ---- 0.21 1.55 0.09 0.03
 30.11.12 17:00 0.08 ---- 0.20 1.56 0.10 0.02
 -------- 18:00 0.08 ---- 0.19 1.62 0.12 0.03
 -------- 19:00 0.11 ---- 0.20 1.64 0.15 0.04
 -------- 20:00 0.17 ---- 0.20 1.66 0.21 0.04
 -------- 21:00 0.15 ---- 0.20 1.65 0.21 0.05
 30.11.12 22:00 0.11 ---- 0.19 1.59 0.07 0.04
 -------- 23:00 0.08 ---- 0.16 1.57 0.04 0.03
 -------- 00:00 0.11 ---- 0.14 1.61 0.03 0.03
 -------- 01:00 0.07 ---- 0.12 1.50 0.02 0.04
 -------- 02:00 0.05 ---- 0.07 1.55 0.01 0.03
 01.12.12 03:00 0.04 ---- 0.10 1.47 0.01 0.03
 -------- 04:00 0.04 ---- 0.11 1.49 0.01 0.03
 -------- 05:00 0.05 ---- 0.10 1.47 0.02 0.04
 -------- 06:00 0.05 ---- 0.09 1.48 0.02 0.03
 -------- 07:00 0.06 ---- 0.11 1.49 0.03 0.03
 01.12.12 08:00 0.06 ---- 0.12 1.48 0.03 0.04
 -------- 09:00 0.07 ---- 0.13 1.50 0.03 0.03
 -------- 10:00 0.06 ---- 0.12 1.48 0.04 0.03
 -------- 11:00 0.06 ---- 0.12 1.48 0.04 0.04
 -------- 12:00 0.11 ---- 0.13 1.63 0.06 0.04
 01.12.12 13:00 0.09 ---- 0.14 1.52 0.07 0.03
 -------- 14:00 0.07 ---- 0.13 1.53 0.06 0.05
 -------- 15:00 0.09 ---- 0.13 1.51 0.06 0.03
 -------- 16:00 0.07 ---- 0.14 1.50 0.05 0.04
 -------- 17:00 0.10 ---- 0.16 1.52 0.09 0.04
 01.12.12 18:00 0.11 ---- 0.15 1.54 0.09 0.05
 -------- 19:00 0.10 ---- 0.15 1.54 0.09 0.05
 -------- 20:00 0.13 ---- 0.15 1.60 0.11 0.05
 -------- 21:00 0.15 ---- 0.17 1.62 0.14 0.07
 -------- 22:00 0.13 ---- 0.16 1.61 0.12 0.06
 01.12.12 23:00 0.11 ---- 0.15 1.56 0.07 0.05
 -------- 00:00 0.14 ---- 0.13 1.60 0.12 0.04
 -------- 01:00 0.13 ---- 0.13 1.59 0.11 0.05
 -------- 02:00 0.10 ---- 0.13 1.56 0.06 0.04
 -------- 03:00 0.09 ---- 0.11 1.55 0.05 0.02
 02.12.12 04:00 0.08 ---- 0.10 1.52 0.04 0.02
 -------- 05:00 0.07 ---- 0.09 1.58 0.03 0.02
 -------- 06:00 0.04 ---- 0.08 1.62 0.01 0.01
 -------- 07:00 0.05 ---- 0.10 1.69 0.02 0.02
 -------- 08:00 0.05 ---- 0.10 1.71 0.02 0.02
 02.12.12 09:00 0.04 ---- 0.08 1.47 0.02 0.02
 -------- 10:00 0.04 ---- 0.08 1.43 0.02 0.02
 -------- 11:00 0.13 ---- 0.09 1.46 0.03 0.02
 -------- 12:00 0.06 ---- 0.09 1.45 0.02 0.02
