 Date Time CO NO2 CHX NO PM10
 12.11.12 12:00 0.06 0.14 1.46 0.02 0.06
 -------- 13:00 0.05 0.10 1.43 0.02 0.06
 -------- 14:00 0.06 0.09 1.44 0.02 0.05
 -------- 15:00 0.05 0.09 1.44 0.02 0.06
 -------- 16:00 0.06 0.10 1.43 0.02 0.07
 12.11.12 17:00 0.06 0.10 1.44 0.02 0.06
 -------- 18:00 0.06 0.12 1.44 0.02 0.07
 -------- 19:00 0.06 0.10 1.45 0.02 0.08
 -------- 20:00 0.06 0.11 1.46 0.02 0.09
 -------- 21:00 0.05 0.12 1.45 0.03 0.11
 12.11.12 22:00 0.06 0.10 1.45 0.02 0.08
 -------- 23:00 0.04 0.05 1.43 0.02 0.06
 -------- 00:00 0.04 0.09 1.43 0.02 0.05
 -------- 01:00 0.04 0.11 1.43 0.02 0.04
 -------- 02:00 0.04 0.10 1.42 0.02 0.04
 13.11.12 03:00 0.04 0.09 1.42 0.02 0.04
 -------- 04:00 0.04 0.08 1.42 0.02 0.04
 -------- 05:00 0.04 0.07 1.41 0.02 0.04
 -------- 06:00 0.06 0.08 1.44 0.02 0.04
 -------- 07:00 0.04 0.08 1.43 0.02 0.04
 13.11.12 08:00 0.07 0.13 1.43 0.03 0.04
 -------- 09:00 0.07 0.15 1.44 0.03 0.04
 -------- 10:00 0.18 0.13 1.48 0.03 0.07
 -------- 11:00 0.05 0.07 1.42 0.02 0.05
 -------- 12:00 0.04 0.07 1.41 0.02 0.04
 13.11.12 13:00 0.03 0.05 1.40 0.02 0.03
 -------- 14:00 0.04 0.06 1.43 0.02 0.03
 -------- 15:00 0.03 0.05 1.39 0.02 0.03
 -------- 16:00 0.05 0.06 1.61 0.04 0.02
 -------- 17:00 0.04 0.08 1.41 0.02 0.03
 13.11.12 18:00 0.04 0.09 1.41 0.02 0.03
 -------- 19:00 0.04 0.07 1.41 0.02 0.02
 -------- 20:00 0.04 0.08 1.41 0.02 0.03
 -------- 21:00 0.04 0.06 1.40 0.02 0.02
 -------- 22:00 0.03 0.02 1.40 0.02 0.02
 13.11.12 23:00 0.03 0.02 1.41 0.01 0.01
 -------- 00:00 0.02 0.01 1.40 0.01 0.01
 -------- 01:00 0.02 0.02 1.45 0.01 0.01
 -------- 02:00 0.02 0.01 1.39 0.01 0.01
 -------- 03:00 0.02 0.01 1.42 0.01 0.01
 14.11.12 04:00 0.02 0.02 1.38 0.01 0.02
 -------- 05:00 0.02 0.01 1.40 0.01 0.02
 -------- 06:00 0.02 0.01 1.38 0.01 0.02
 -------- 07:00 0.02 0.02 1.41 0.01 0.02
 -------- 08:00 0.04 0.03 1.40 0.02 0.05
 14.11.12 09:00 0.04 0.03 1.47 0.02 0.06
 -------- 10:00 0.17 0.08 1.51 0.02 0.11
 -------- 11:00 0.08 0.07 1.45 0.02 0.12
 -------- 12:00 0.10 0.07 1.49 0.02 0.14
