 Date Time CO NO2 CHX NO PM10
 16.11.12 12:00 0.02 0.03 1.42 0.02 0.02
 -------- 13:00 0.02 0.03 1.38 0.02 0.02
 -------- 14:00 0.02 0.03 1.38 0.02 0.02
 -------- 15:00 0.03 0.05 1.41 0.02 0.04
 -------- 16:00 0.05 0.04 1.44 0.02 0.03
 16.11.12 17:00 0.02 0.04 1.40 0.02 0.03
 -------- 18:00 0.03 0.04 1.41 0.02 0.03
 -------- 19:00 0.03 0.03 1.38 0.02 0.03
 -------- 20:00 0.02 0.02 1.40 0.02 0.02
 -------- 21:00 0.02 0.03 1.40 0.02 0.02
 16.11.12 22:00 0.02 0.02 1.40 0.01 0.02
 -------- 23:00 0.02 0.02 1.39 0.01 0.01
 -------- 00:00 0.02 0.02 1.39 0.01 0.01
 -------- 01:00 0.02 0.03 1.39 0.01 0.02
 -------- 02:00 0.02 0.02 1.40 0.02 0.01
 17.11.12 03:00 0.02 0.02 1.38 0.01 0.02
 -------- 04:00 0.02 0.01 1.38 0.02 0.01
 -------- 05:00 0.03 0.01 1.39 0.01 0.01
 -------- 06:00 0.03 0.01 1.38 0.01 0.02
 -------- 07:00 0.03 0.01 1.38 0.02 0.01
 17.11.12 08:00 0.04 0.03 1.40 0.02 0.02
 -------- 09:00 0.05 0.05 1.43 0.02 0.04
 -------- 10:00 0.07 0.06 1.43 0.02 0.05
 -------- 11:00 0.08 0.07 1.55 0.02 0.02
 -------- 12:00 0.20 0.07 1.52 0.02 0.03
 17.11.12 13:00 0.05 0.06 1.43 0.02 0.04
 -------- 14:00 0.05 0.05 1.41 0.02 0.04
 -------- 15:00 0.05 0.09 1.42 0.03 0.04
 -------- 16:00 0.06 0.12 1.43 0.02 0.05
 -------- 17:00 0.06 0.14 1.41 0.02 0.09
 17.11.12 18:00 0.06 0.15 1.42 0.02 0.08
 -------- 19:00 0.10 0.19 1.71 0.03 0.08
 -------- 20:00 0.08 0.19 1.46 0.03 0.09
 -------- 21:00 0.06 0.15 1.46 0.02 0.09
 -------- 22:00 0.06 0.15 1.43 0.02 0.08
 17.11.12 23:00 0.06 0.13 1.44 0.02 0.07
 -------- 00:00 0.06 0.14 1.44 0.03 0.07
 -------- 01:00 0.05 0.12 1.43 0.02 0.06
 -------- 02:00 0.04 0.13 1.43 0.02 0.06
 -------- 03:00 0.04 0.10 1.42 0.02 0.05
 18.11.12 04:00 0.04 0.12 1.42 0.02 0.05
 -------- 05:00 0.04 0.12 1.42 0.02 0.04
 -------- 06:00 0.04 0.14 1.43 0.02 0.05
 -------- 07:00 0.04 0.13 1.44 0.02 0.06
 -------- 08:00 0.04 0.07 1.50 0.02 0.07
 18.11.12 09:00 0.04 0.07 1.50 0.02 0.06
 -------- 10:00 0.04 0.07 1.41 0.02 0.07
 -------- 11:00 0.05 0.07 1.41 0.02 0.06
 -------- 12:00 0.06 0.09 1.40 0.01 0.08
