 Date Time CO NO2 CHX NO PM10
 09.10.12 12:00 0.05 0.08 1.42 0.02 0.02
 -------- 13:00 0.05 0.10 1.41 0.02 0.04
 -------- 14:00 0.05 0.09 1.42 0.03 0.06
 -------- 15:00 0.07 0.10 1.43 0.02 0.03
 -------- 16:00 0.04 0.10 1.49 0.02 0.04
 09.10.12 17:00 0.05 0.08 1.54 0.02 0.03
 -------- 18:00 0.05 0.10 1.41 0.02 0.03
 -------- 19:00 0.04 0.10 1.40 0.02 0.02
 -------- 20:00 0.04 0.06 1.39 0.02 0.03
 -------- 21:00 0.05 0.07 1.39 0.03 0.03
 09.10.12 22:00 0.05 0.05 1.44 0.02 0.02
 -------- 23:00 0.04 0.04 1.39 0.01 0.02
 -------- 00:00 0.02 0.02 1.38 0.02 0.01
 -------- 01:00 0.03 0.04 1.41 0.02 0.02
 -------- 02:00 0.04 0.07 1.51 0.02 0.02
 10.10.12 03:00 0.04 0.06 1.49 0.02 0.02
 -------- 04:00 0.04 0.04 1.68 0.01 0.02
 -------- 05:00 0.04 0.03 1.61 0.02 0.02
 -------- 06:00 0.04 0.10 1.58 0.02 0.03
 -------- 07:00 0.04 0.11 1.45 0.02 0.02
 10.10.12 08:00 0.07 0.19 1.52 0.05 0.05
 -------- 09:00 0.07 0.18 1.51 0.04 0.07
 -------- 10:00 0.07 0.20 1.47 0.04 0.07
 -------- 11:00 0.06 0.20 1.49 0.05 0.06
 -------- 12:00 0.07 0.18 1.50 0.06 0.06
 10.10.12 13:00 0.06 0.13 1.49 0.05 0.06
 -------- 14:00 0.05 0.14 1.47 0.03 0.06
 -------- 15:00 0.05 0.15 1.45 0.03 0.07
 -------- 16:00 0.08 0.19 1.45 0.04 0.06
 -------- 17:00 0.06 0.12 1.43 0.02 0.04
 10.10.12 18:00 0.06 0.14 1.42 0.02 0.04
 -------- 19:00 0.07 0.20 1.45 0.02 0.05
 -------- 20:00 0.06 0.19 1.43 0.02 0.05
 -------- 21:00 0.05 0.13 1.42 0.02 0.04
 -------- 22:00 0.04 0.10 1.42 0.02 0.04
 10.10.12 23:00 0.04 0.07 1.42 0.02 0.04
 -------- 00:00 0.04 0.05 1.40 0.02 0.03
 -------- 01:00 0.04 0.03 1.40 0.02 0.02
 -------- 02:00 0.03 0.02 1.39 0.01 0.02
 -------- 03:00 0.04 0.02 1.39 0.01 0.01
 11.10.12 04:00 0.04 0.02 1.39 0.01 ----
 -------- 05:00 0.04 0.02 1.39 0.02 ----
 -------- 06:00 0.04 0.03 1.40 0.02 ----
 -------- 07:00 0.04 0.05 1.39 0.02 ----
 -------- 08:00 0.05 0.10 1.41 0.02 ----
 11.10.12 09:00 0.05 0.09 1.40 0.02 ----
 -------- 10:00 0.07 0.09 1.45 0.03 ----
 -------- 11:00 0.05 0.09 1.42 0.02 ----
