 Date Time CO OZ NO2 CHX NO PM10
 15.04.13 12:00 0.08 ---- 0.29 1.50 0.04 0.17
 -------- 13:00 0.05 ---- 0.11 1.47 0.02 0.13
 -------- 14:00 0.06 ---- 0.13 1.51 0.02 0.13
 -------- 15:00 0.06 ---- 0.13 1.55 0.02 0.14
 -------- 16:00 0.06 ---- 0.14 1.50 0.02 0.14
 15.04.13 17:00 0.05 ---- 0.12 1.48 0.01 0.12
 -------- 18:00 0.05 ---- 0.14 1.48 0.01 0.14
 -------- 19:00 0.12 ---- 0.32 1.61 0.02 0.15
 -------- 20:00 0.13 ---- 0.33 1.67 0.01 0.14
 -------- 21:00 0.13 ---- 0.28 1.73 0.01 0.14
 15.04.13 22:00 0.14 ---- 0.31 1.71 0.01 0.13
 -------- 23:00 0.15 ---- 0.57 1.71 0.03 0.14
 -------- 00:00 0.13 ---- 0.56 1.76 0.03 0.16
 -------- 01:00 0.14 ---- 0.52 1.81 0.03 0.17
 -------- 02:00 0.15 ---- 0.53 1.94 0.03 0.17
 16.04.13 03:00 0.09 ---- 0.28 1.81 0.01 0.15
 -------- 04:00 0.08 ---- 0.26 1.66 0.01 0.12
 -------- 05:00 0.08 ---- 0.20 1.68 0.01 0.11
 -------- 06:00 0.11 ---- 0.21 1.69 0.01 0.10
 -------- 07:00 0.13 ---- 0.25 1.69 0.02 0.11
 16.04.13 08:00 0.16 ---- 0.24 1.70 0.02 0.11
 -------- 09:00 0.18 ---- 0.26 1.68 0.02 0.11
 -------- 10:00 0.08 ---- 0.27 1.59 0.02 0.17
 -------- 11:00 0.07 ---- 0.26 1.55 0.02 0.19
 -------- 12:00 0.05 ---- 0.13 1.50 0.02 0.15
 16.04.13 13:00 0.04 ---- 0.11 1.48 0.01 0.14
 -------- 14:00 0.04 ---- 0.11 1.46 0.02 0.13
 -------- 15:00 0.04 ---- 0.09 1.45 0.01 0.10
 -------- 16:00 0.04 ---- 0.10 1.45 0.01 0.09
 -------- 17:00 0.04 ---- 0.09 1.44 0.01 0.09
 16.04.13 18:00 0.04 ---- 0.09 1.44 0.01 0.10
 -------- 19:00 0.06 ---- 0.05 1.47 0.01 0.10
 -------- 20:00 0.06 ---- 0.06 1.50 0.01 0.10
 -------- 21:00 0.07 ---- 0.10 1.51 0.01 0.10
 -------- 22:00 0.09 ---- 0.18 1.56 0.01 0.11
 16.04.13 23:00 0.09 ---- 0.14 1.58 0.01 0.10
 -------- 00:00 0.07 ---- 0.14 1.54 0.01 0.08
 -------- 01:00 0.11 ---- 0.31 1.61 0.03 0.10
 -------- 02:00 0.12 ---- 0.34 1.69 0.04 0.12
 -------- 03:00 0.14 ---- 0.39 1.89 0.08 0.12
 17.04.13 04:00 0.13 ---- 0.34 1.99 0.06 0.11
 -------- 05:00 0.11 ---- 0.28 1.91 0.05 0.09
 -------- 06:00 0.16 ---- 0.26 2.03 0.08 0.10
 -------- 07:00 0.21 ---- 0.22 2.11 0.10 0.10
 -------- 08:00 0.23 ---- 0.28 1.94 0.07 0.13
 17.04.13 09:00 0.18 ---- 0.33 1.74 0.05 0.14
 -------- 10:00 0.10 ---- 0.32 1.62 0.04 0.16
 -------- 11:00 0.05 ---- 0.13 1.51 0.02 0.11
