 Date Time CO OZ NO2 CHX NO PM10
 17.04.13 12:00 0.05 ---- 0.08 1.46 0.01 0.09
 -------- 13:00 0.04 ---- 0.09 1.46 0.01 0.11
 -------- 14:00 0.04 ---- 0.07 1.46 0.01 0.11
 -------- 15:00 0.05 ---- 0.07 1.45 0.01 0.12
 -------- 16:00 0.06 ---- 0.07 1.44 0.01 0.12
 17.04.13 17:00 0.06 ---- 0.07 1.43 0.01 0.12
 -------- 18:00 0.06 ---- 0.10 1.44 0.01 0.11
 -------- 19:00 0.06 ---- 0.13 1.45 0.01 0.12
 -------- 20:00 0.09 ---- 0.18 1.51 0.01 0.14
 -------- 21:00 0.13 ---- 0.26 1.58 0.01 0.14
 17.04.13 22:00 0.13 ---- 0.30 1.68 0.01 0.14
 -------- 23:00 0.09 ---- 0.29 1.57 0.01 0.14
 -------- 00:00 0.08 ---- 0.15 1.48 0.01 0.12
 -------- 01:00 0.07 ---- 0.14 1.48 0.01 0.11
 -------- 02:00 0.08 ---- 0.27 1.56 0.02 0.12
 18.04.13 03:00 0.06 ---- 0.12 1.48 0.01 0.09
 -------- 04:00 0.05 ---- 0.12 1.49 0.01 0.08
 -------- 05:00 0.04 ---- 0.12 1.49 0.01 0.09
 -------- 06:00 0.06 ---- 0.12 1.49 0.01 0.08
 -------- 07:00 0.06 ---- 0.15 1.49 0.01 0.09
 18.04.13 08:00 0.07 ---- 0.21 1.47 0.02 0.10
 -------- 09:00 0.07 ---- 0.19 1.48 0.02 0.11
 -------- 10:00 0.09 ---- 0.19 1.54 0.02 0.11
 -------- 11:00 0.06 ---- 0.18 1.49 0.02 0.12
 -------- 12:00 0.07 ---- 0.14 1.46 0.02 0.14
 18.04.13 13:00 0.05 ---- 0.13 1.44 0.02 0.13
 -------- 14:00 0.04 ---- 0.09 1.44 0.01 0.11
 -------- 15:00 0.04 ---- 0.06 1.40 0.01 0.10
 -------- 16:00 0.04 ---- 0.06 1.39 0.01 0.10
 -------- 17:00 0.04 ---- 0.05 1.39 0.01 0.09
 18.04.13 18:00 0.04 ---- 0.09 1.39 0.01 0.08
 -------- 19:00 0.04 ---- 0.06 1.40 0.01 0.07
 -------- 20:00 0.05 ---- 0.12 1.45 0.01 0.08
 -------- 21:00 0.11 ---- 0.21 1.60 0.01 0.08
 -------- 22:00 0.11 ---- 0.22 1.61 0.02 0.08
 18.04.13 23:00 0.11 ---- 0.28 1.68 0.02 0.11
 -------- 00:00 0.13 ---- 0.35 1.74 0.03 0.12
 -------- 01:00 0.11 ---- 0.37 1.74 0.03 0.10
 -------- 02:00 0.11 ---- 0.38 1.74 0.03 0.12
 -------- 03:00 0.09 ---- 0.28 1.61 0.02 0.12
 19.04.13 04:00 0.05 ---- 0.19 1.52 0.01 0.12
 -------- 05:00 0.04 ---- 0.12 1.50 0.01 0.10
 -------- 06:00 0.05 ---- 0.10 1.50 0.01 0.09
 -------- 07:00 0.04 ---- 0.12 1.48 0.01 0.09
 -------- 08:00 0.06 ---- 0.15 1.48 0.02 0.11
 19.04.13 09:00 0.06 ---- 0.20 1.51 0.02 0.14
 -------- 10:00 0.05 ---- 0.18 1.49 0.02 0.15
 -------- 11:00 0.04 ---- 0.12 1.46 0.02 0.14
