 Date Time CO NO2 CHX NO PM10
 19.09.12 00:00 0.10 0.25 1.56 0.02 0.06
 -------- 01:00 0.08 0.22 1.60 0.02 0.10
 -------- 02:00 0.08 0.23 1.60 0.02 0.12
 -------- 03:00 0.08 0.22 1.60 0.02 0.10
 -------- 04:00 0.08 0.23 1.59 0.02 0.09
 19.09.12 05:00 0.08 0.23 1.58 0.02 0.10
 -------- 06:00 0.08 0.25 1.61 0.02 0.09
 -------- 07:00 0.11 0.36 1.65 0.06 0.09
 -------- 08:00 0.13 0.37 1.68 0.11 0.12
 -------- 09:00 0.14 0.35 1.73 0.10 0.16
 19.09.12 10:00 0.11 0.31 1.65 0.08 0.18
 -------- 11:00 0.09 0.24 1.56 0.05 0.13
 -------- 12:00 0.07 0.17 1.50 0.03 0.12
 -------- 13:00 0.05 0.10 1.44 0.02 0.10
 -------- 14:00 0.05 0.10 1.40 0.02 0.08
 19.09.12 15:00 0.04 0.08 1.40 0.02 0.11
 -------- 16:00 0.05 0.09 1.41 0.02 0.07
 -------- 17:00 0.05 0.10 1.41 0.02 0.08
 -------- 18:00 0.05 0.13 1.41 0.02 0.07
 -------- 19:00 0.06 0.18 1.42 0.02 0.08
 19.09.12 20:00 0.12 0.32 1.70 0.02 0.12
 -------- 21:00 0.16 0.54 1.57 0.08 0.15
 -------- 22:00 0.11 0.40 1.56 0.02 0.12
 -------- 23:00 0.11 0.37 1.56 0.02 0.12
 -------- 00:00 0.11 0.40 1.58 0.04 0.12
 20.09.12 01:00 0.10 0.32 1.59 0.02 0.11
 -------- 02:00 0.09 0.25 1.57 0.02 0.10
 -------- 03:00 0.07 0.18 1.54 0.02 0.09
 -------- 04:00 0.06 0.11 1.50 0.02 0.08
 -------- 05:00 0.06 0.09 1.48 0.02 0.06
 20.09.12 06:00 0.05 0.10 1.48 0.02 0.07
 -------- 07:00 0.07 0.20 1.51 0.02 0.08
 -------- 08:00 0.09 0.28 1.55 0.04 0.09
 -------- 09:00 0.13 0.32 1.69 0.07 0.13
 -------- 10:00 0.10 0.27 1.56 0.06 0.18
 20.09.12 11:00 0.09 0.24 1.53 0.04 0.14
 -------- 12:00 0.09 0.19 1.50 0.03 0.18
 -------- 13:00 0.05 0.13 1.44 0.02 0.12
 -------- 14:00 0.05 0.10 1.42 0.02 0.12
 -------- 15:00 0.04 0.09 1.41 0.02 0.09
 20.09.12 16:00 0.05 0.10 1.44 0.02 0.10
 -------- 17:00 0.05 0.09 1.44 0.02 0.11
 -------- 18:00 0.06 0.13 1.45 0.02 0.13
 -------- 19:00 0.08 0.34 1.50 0.02 0.16
 -------- 20:00 0.12 0.50 1.53 0.03 0.17
 20.09.12 21:00 0.15 0.52 1.57 0.04 0.20
 -------- 22:00 0.11 0.45 1.56 0.02 0.25
 -------- 23:00 0.11 0.42 1.60 0.03 0.17
