 Date Time CO NO2 CHX NO PM10
 03.11.12 00:00 0.08 0.30 1.48 0.02 0.09
 -------- 01:00 0.08 0.33 1.46 0.03 0.09
 -------- 02:00 0.06 0.25 1.45 0.02 0.06
 -------- 03:00 0.06 0.21 1.46 0.02 0.05
 -------- 04:00 0.06 0.20 1.47 0.02 0.06
 03.11.12 05:00 0.06 0.19 1.47 0.02 0.05
 -------- 06:00 0.06 0.20 1.46 0.02 0.04
 -------- 07:00 0.06 0.17 1.45 0.02 0.03
 -------- 08:00 0.06 0.17 1.45 0.02 0.04
 -------- 09:00 0.07 0.20 1.46 0.02 0.03
 03.11.12 10:00 0.07 0.22 1.47 0.03 0.04
 -------- 11:00 0.09 0.25 1.49 0.04 0.04
 -------- 12:00 0.09 0.25 1.50 0.04 0.04
 -------- 13:00 0.08 0.23 1.47 0.04 0.04
 -------- 14:00 0.07 0.22 1.47 0.03 0.03
 03.11.12 15:00 0.07 0.21 1.47 0.03 0.04
 -------- 16:00 0.08 0.22 1.49 0.04 0.03
 -------- 17:00 0.06 0.19 1.47 0.03 0.03
 -------- 18:00 0.06 0.16 1.46 0.02 0.02
 -------- 19:00 0.06 0.17 1.46 0.02 0.03
 03.11.12 20:00 0.06 0.15 1.45 0.02 0.02
 -------- 21:00 0.06 0.13 1.45 0.02 0.03
 -------- 22:00 0.06 0.13 1.46 0.02 0.02
 -------- 23:00 0.06 0.13 1.47 0.02 0.03
 -------- 00:00 0.06 0.11 1.47 0.02 0.03
 04.11.12 01:00 0.06 0.09 1.47 0.02 0.03
 -------- 02:00 0.05 0.07 1.46 0.02 0.03
 -------- 03:00 0.04 0.06 1.45 0.01 0.02
 -------- 04:00 0.04 0.06 1.45 0.02 0.02
 -------- 05:00 0.04 0.06 1.45 0.02 0.02
 04.11.12 06:00 0.04 0.05 1.45 0.02 0.02
 -------- 07:00 0.05 0.06 1.46 0.02 0.03
 -------- 08:00 0.06 0.07 1.48 0.02 0.03
 -------- 09:00 0.06 0.08 1.47 0.02 0.04
 -------- 10:00 0.07 0.10 1.45 0.02 0.04
 04.11.12 11:00 0.06 0.10 1.44 0.02 0.04
 -------- 12:00 0.06 0.09 1.44 0.02 0.04
 -------- 13:00 0.06 0.10 1.46 0.02 0.04
 -------- 14:00 0.06 0.11 1.45 0.02 0.05
 -------- 15:00 0.06 0.11 1.46 0.02 0.05
 04.11.12 16:00 0.06 0.10 1.45 0.02 0.05
 -------- 17:00 0.05 0.09 1.43 0.02 0.06
 -------- 18:00 0.06 0.10 1.43 0.02 0.06
 -------- 19:00 0.06 0.09 1.43 0.02 0.06
 -------- 20:00 0.06 0.08 1.43 0.02 0.06
 04.11.12 21:00 0.06 0.08 1.44 0.02 0.06
 -------- 22:00 0.05 0.07 1.43 0.02 0.05
 -------- 23:00 0.04 0.08 1.42 0.02 0.05
 -------- 00:00 0.04 0.02 1.42 0.01 0.00
