 Date Time CO OZ NO2 CHX NO PM10
 14.03.13 00:00 0.15 ---- 0.76 1.98 0.21 0.11
 -------- 01:00 0.14 ---- 0.75 2.01 0.22 0.13
 -------- 02:00 0.15 ---- 0.70 2.06 0.23 0.12
 -------- 03:00 0.16 ---- 0.70 2.08 0.30 0.16
 -------- 04:00 0.15 ---- 0.69 1.97 0.27 0.15
 14.03.13 05:00 0.15 ---- 0.71 1.98 0.28 0.13
 -------- 06:00 0.16 ---- 0.74 2.19 0.38 0.14
 -------- 07:00 0.17 ---- 0.72 2.26 0.39 0.14
 -------- 08:00 0.21 ---- 0.71 2.32 0.41 0.15
 -------- 09:00 0.19 ---- 0.70 2.09 0.39 0.16
 14.03.13 10:00 0.19 ---- 0.73 1.96 0.38 0.16
 -------- 11:00 0.18 ---- 0.72 1.97 0.32 0.17
 -------- 12:00 0.19 ---- 0.71 1.96 0.27 0.15
 -------- 13:00 0.16 ---- 0.67 1.79 0.21 0.13
 -------- 14:00 0.12 ---- 0.60 1.71 0.14 0.10
 14.03.13 15:00 0.13 ---- 0.60 1.71 0.13 0.12
 -------- 16:00 0.29 ---- 0.52 1.78 0.08 0.10
 -------- 17:00 0.12 ---- 0.58 1.67 0.07 0.10
 -------- 18:00 0.16 ---- 0.71 1.74 0.13 0.12
 -------- 19:00 0.16 ---- 0.77 1.76 0.16 0.14
 14.03.13 20:00 0.15 ---- 0.66 1.70 0.11 0.11
 -------- 21:00 0.16 ---- 0.45 1.77 0.03 0.07
 -------- 22:00 0.08 ---- 0.36 1.58 0.02 0.06
 -------- 23:00 0.07 ---- 0.31 1.58 0.02 0.07
 -------- 00:00 0.06 ---- 0.23 1.55 0.01 0.06
 15.03.13 01:00 0.06 ---- 0.24 1.56 0.02 0.07
 -------- 02:00 0.06 ---- 0.26 1.58 0.02 0.07
 -------- 03:00 0.06 ---- 0.24 1.57 0.02 0.07
 -------- 04:00 0.06 ---- 0.27 1.58 0.02 0.08
 -------- 05:00 0.06 ---- 0.29 1.59 0.02 0.08
 15.03.13 06:00 0.07 ---- 0.30 1.62 0.02 0.08
 -------- 07:00 0.11 ---- 0.51 1.66 0.06 0.10
 -------- 08:00 0.16 ---- 0.56 1.81 0.17 0.10
 -------- 09:00 0.15 ---- 0.50 1.79 0.14 0.10
 -------- 10:00 0.11 ---- 0.36 1.93 0.07 0.08
 15.03.13 11:00 0.09 ---- 0.24 1.87 0.04 0.07
 -------- 12:00 0.08 ---- 0.19 1.71 0.03 0.07
 -------- 13:00 0.08 ---- 0.18 1.62 0.03 0.08
 -------- 14:00 0.08 ---- 0.17 1.66 0.02 0.07
 -------- 15:00 0.08 ---- 0.17 1.77 0.02 0.07
 15.03.13 16:00 0.07 ---- 0.20 1.58 0.03 0.07
 -------- 17:00 0.06 ---- 0.22 1.54 0.02 0.05
 -------- 18:00 0.07 ---- 0.22 1.53 0.02 0.05
 -------- 19:00 0.07 ---- 0.18 1.53 0.02 0.06
 -------- 20:00 0.08 ---- 0.20 1.53 0.02 0.04
 15.03.13 21:00 0.07 ---- 0.16 1.53 0.02 0.05
 -------- 22:00 0.06 ---- 0.17 1.52 0.02 0.04
 -------- 23:00 0.07 ---- 0.20 1.53 0.02 0.04
