 Date Time CO OZ NO2 CHX NO PM10
 28.02.13 00:00 0.07 ---- 0.20 1.54 0.01 0.05
 -------- 01:00 0.06 ---- 0.14 1.50 0.02 0.05
 -------- 02:00 0.06 ---- 0.12 1.50 0.01 0.05
 -------- 03:00 0.05 ---- 0.09 1.48 0.01 0.03
 -------- 04:00 0.04 ---- 0.08 1.42 0.02 0.02
 28.02.13 05:00 0.04 ---- 0.07 1.43 0.02 0.02
 -------- 06:00 0.04 ---- 0.08 1.41 0.02 0.01
 -------- 07:00 0.05 ---- 0.06 1.41 0.01 0.02
 -------- 08:00 0.07 ---- 0.05 1.44 0.02 0.02
 -------- 09:00 0.04 ---- 0.06 1.42 0.01 0.02
 28.02.13 10:00 0.05 ---- 0.06 1.41 0.02 0.02
 -------- 11:00 0.04 ---- 0.04 1.39 0.02 0.02
 -------- 12:00 0.04 ---- 0.04 1.38 0.02 0.02
 -------- 13:00 0.04 ---- 0.04 1.38 0.01 0.02
 -------- 14:00 0.04 ---- 0.04 1.37 0.01 0.02
 28.02.13 15:00 0.04 ---- 0.04 1.37 0.02 0.02
 -------- 16:00 0.05 ---- 0.04 1.38 0.02 0.02
 -------- 17:00 0.05 ---- 0.05 1.38 0.01 0.02
 -------- 18:00 0.05 ---- 0.05 1.38 0.02 0.02
 -------- 19:00 0.05 ---- 0.06 1.38 0.02 0.02
 28.02.13 20:00 0.05 ---- 0.05 1.39 0.02 0.02
 -------- 21:00 0.06 ---- 0.06 1.39 0.02 0.02
 -------- 22:00 0.05 ---- 0.04 1.41 0.01 0.02
 -------- 23:00 0.04 ---- 0.05 1.39 0.02 0.01
 -------- 00:00 0.04 ---- 0.07 1.40 0.02 0.02
 01.03.13 01:00 0.04 ---- 0.10 1.39 0.02 0.02
 -------- 02:00 0.04 ---- 0.12 1.40 0.02 0.02
 -------- 03:00 0.04 ---- 0.09 1.39 0.02 0.02
 -------- 04:00 0.04 ---- 0.08 1.40 0.02 0.03
 -------- 05:00 0.04 ---- 0.10 1.41 0.02 0.03
 01.03.13 06:00 0.04 ---- 0.09 1.42 0.02 0.03
 -------- 07:00 0.06 ---- 0.08 1.43 0.02 0.03
 -------- 08:00 0.09 ---- 0.11 1.45 0.02 0.03
 -------- 09:00 0.09 ---- 0.13 1.52 0.02 0.03
 -------- 10:00 0.06 ---- 0.14 1.43 0.02 0.03
 01.03.13 11:00 0.06 ---- 0.14 1.43 0.03 0.03
 -------- 12:00 0.05 ---- 0.15 1.43 0.03 0.04
 -------- 13:00 0.06 ---- 0.14 1.43 0.02 0.04
 -------- 14:00 0.05 ---- 0.14 1.43 0.03 0.04
 -------- 15:00 0.05 ---- 0.13 1.43 0.02 0.03
 01.03.13 16:00 0.04 ---- 0.08 1.41 0.02 0.02
 -------- 17:00 0.04 ---- 0.06 1.40 0.02 0.01
 -------- 18:00 0.05 ---- 0.06 1.42 0.02 0.02
 -------- 19:00 0.04 ---- 0.05 1.40 0.02 0.01
 -------- 20:00 0.04 ---- 0.04 1.39 0.02 0.02
 01.03.13 21:00 0.05 ---- 0.04 1.38 0.02 0.01
 -------- 22:00 0.04 ---- 0.04 1.43 0.01 0.01
 -------- 23:00 0.04 ---- 0.05 1.41 0.01 0.01
