 Date Time CO OZ NO2 CHX NO PM10
 07.12.12 12:00 0.09 ---- 0.32 1.51 0.11 0.10
 -------- 13:00 0.08 ---- 0.32 1.50 0.11 0.08
 -------- 14:00 0.11 ---- 0.33 1.50 0.12 0.07
 -------- 15:00 0.08 ---- 0.31 1.48 0.09 0.06
 -------- 16:00 0.09 ---- 0.33 1.49 0.12 0.08
 07.12.12 17:00 0.13 ---- 0.37 1.58 0.19 0.14
 -------- 18:00 0.12 ---- 0.37 1.56 0.19 0.11
 -------- 19:00 0.12 ---- 0.37 1.59 0.18 0.08
 -------- 20:00 0.11 ---- 0.36 1.60 0.15 0.07
 -------- 21:00 0.12 ---- 0.34 1.58 0.14 0.07
 07.12.12 22:00 0.10 ---- 0.28 1.65 0.06 0.06
 -------- 23:00 0.09 ---- 0.26 1.60 0.06 0.07
 -------- 00:00 0.08 ---- 0.23 1.53 0.05 0.06
 -------- 01:00 0.08 ---- 0.22 1.50 0.04 0.06
 -------- 02:00 0.06 ---- 0.20 1.47 0.02 0.05
 08.12.12 03:00 0.06 ---- 0.19 1.49 0.02 0.10
 -------- 04:00 0.06 ---- 0.21 1.51 0.02 0.06
 -------- 05:00 0.06 ---- 0.17 1.53 0.02 0.06
 -------- 06:00 0.06 ---- 0.19 1.54 0.03 0.06
 -------- 07:00 0.07 ---- 0.20 1.56 0.03 0.06
 08.12.12 08:00 0.07 ---- 0.22 1.59 0.06 0.08
 -------- 09:00 0.11 ---- 0.23 1.65 0.08 0.09
 -------- 10:00 0.09 ---- 0.23 1.58 0.10 0.08
 -------- 11:00 0.11 ---- 0.27 1.64 0.17 0.10
 -------- 12:00 0.14 ---- 0.27 1.69 0.22 0.12
 08.12.12 13:00 0.14 ---- 0.28 1.71 0.24 0.13
 -------- 14:00 0.16 ---- 0.28 1.78 0.27 0.13
 -------- 15:00 0.20 ---- 0.34 2.54 0.37 0.14
 -------- 16:00 0.20 ---- 0.33 1.84 0.37 0.14
 -------- 17:00 0.16 ---- 0.29 1.74 0.25 0.13
 08.12.12 18:00 0.11 ---- 0.25 1.60 0.13 0.12
 -------- 19:00 0.13 ---- 0.24 1.59 0.12 0.09
 -------- 20:00 0.12 ---- 0.24 1.58 0.10 0.11
 -------- 21:00 0.12 ---- 0.23 1.59 0.09 0.11
 -------- 22:00 0.13 ---- 0.24 1.67 0.16 0.10
 08.12.12 23:00 0.16 ---- 0.25 1.73 0.25 0.15
 -------- 00:00 0.16 ---- 0.26 1.73 0.26 0.13
 -------- 01:00 0.19 ---- 0.28 1.82 0.39 0.14
 -------- 02:00 0.20 ---- 0.27 1.85 0.43 0.14
 -------- 03:00 0.20 ---- 0.26 1.86 0.43 0.16
 09.12.12 04:00 0.18 ---- 0.27 1.84 0.39 0.15
 -------- 05:00 0.18 ---- 0.26 1.84 0.37 0.14
 -------- 06:00 0.18 ---- 0.22 1.84 0.39 0.13
 -------- 07:00 0.19 ---- 0.25 1.93 0.40 0.13
 -------- 08:00 0.12 ---- 0.23 1.77 0.19 0.13
 09.12.12 09:00 0.11 ---- 0.19 1.81 0.12 0.13
 -------- 10:00 0.09 ---- 0.19 1.69 0.08 0.07
 -------- 11:00 0.08 ---- 0.18 1.55 0.05 0.09
 -------- 12:00 0.06 ---- 0.14 1.56 0.04 0.04
