 Date Time CO SO2 NO2 CHX NO
 31.01.13 00:00 0.08 0.01 0.33 1.61 0.02
 -------- 01:00 0.06 0.01 0.24 1.56 0.01
 -------- 02:00 0.05 0.00 0.19 1.53 0.01
 -------- 03:00 0.05 0.00 0.24 1.57 0.01
 -------- 04:00 0.07 0.01 0.24 1.57 0.01
 31.01.13 05:00 0.08 0.01 0.30 1.59 0.01
 -------- 06:00 0.09 0.01 0.32 1.61 0.03
 -------- 07:00 0.12 0.01 0.35 1.65 0.09
 -------- 08:00 0.15 0.01 0.36 1.70 0.10
 -------- 09:00 0.13 0.01 0.34 1.67 0.09
 31.01.13 10:00 0.14 0.01 0.35 1.71 0.13
 -------- 11:00 0.15 0.01 0.34 1.72 0.12
 -------- 12:00 0.12 0.01 0.29 1.67 0.07
 -------- 13:00 0.13 0.00 0.30 1.67 0.10
 -------- 14:00 0.11 0.01 0.32 1.65 0.10
 31.01.13 15:00 0.11 0.01 0.31 1.63 0.07
 -------- 16:00 0.11 0.01 0.34 1.64 0.07
 -------- 17:00 0.11 0.01 0.35 1.64 0.06
 -------- 18:00 0.11 0.00 0.36 1.62 0.05
 -------- 19:00 0.13 0.01 0.38 1.63 0.06
 31.01.13 20:00 0.13 0.01 0.39 1.64 0.06
 -------- 21:00 0.12 0.01 0.39 1.62 0.06
 -------- 22:00 0.12 0.01 0.38 1.63 0.06
 -------- 23:00 0.11 0.01 0.36 1.62 0.05
 -------- 00:00 0.09 0.01 0.32 1.61 0.03
 01.02.13 01:00 0.10 0.01 0.29 1.62 0.02
 -------- 02:00 0.09 0.01 0.29 1.62 0.02
 -------- 03:00 0.10 0.01 0.25 1.62 0.02
 -------- 04:00 0.10 0.01 0.26 1.62 0.02
 -------- 05:00 0.10 0.01 0.26 1.63 0.02
 01.02.13 06:00 0.11 0.00 0.28 1.66 0.04
 -------- 07:00 0.16 0.01 0.30 1.70 0.09
 -------- 08:00 0.15 0.01 0.32 1.71 0.11
 -------- 09:00 0.16 0.01 0.33 1.72 0.13
 -------- 10:00 0.15 0.01 0.33 1.71 0.14
 01.02.13 11:00 0.16 0.01 0.32 1.72 0.13
 -------- 12:00 0.14 0.00 0.32 1.72 0.13
 -------- 13:00 0.16 0.01 0.32 1.73 0.14
 -------- 14:00 0.15 0.01 0.32 1.71 0.14
 -------- 15:00 0.15 0.01 0.34 1.72 0.13
 01.02.13 16:00 0.17 0.01 0.35 1.72 0.13
 -------- 17:00 0.18 0.01 0.35 1.73 0.14
 -------- 18:00 0.19 0.01 0.36 1.77 0.17
 -------- 19:00 0.19 0.01 0.37 1.77 0.17
 -------- 20:00 0.17 0.01 0.37 1.78 0.16
 01.02.13 21:00 0.15 0.00 0.35 1.73 0.09
 -------- 22:00 0.16 0.01 0.34 1.74 0.08
 -------- 23:00 0.14 0.01 0.35 1.72 0.08
