 Date Time CO SO2 NO2 CHX NO
 09.02.13 12:00 0.10 0.01 0.30 1.56 0.06
 -------- 13:00 0.10 0.01 0.28 1.58 0.05
 -------- 14:00 0.11 0.01 0.28 1.59 0.05
 -------- 15:00 0.11 0.01 0.26 1.57 0.04
 -------- 16:00 0.10 0.01 0.26 1.55 0.03
 09.02.13 17:00 0.10 0.01 0.27 1.57 0.03
 -------- 18:00 0.08 0.01 0.25 1.53 0.02
 -------- 19:00 0.09 0.01 0.24 1.53 0.02
 -------- 20:00 0.09 0.01 0.24 1.54 0.01
 -------- 21:00 0.08 0.01 0.21 1.52 0.01
 09.02.13 22:00 0.08 0.01 0.22 1.52 0.02
 -------- 23:00 0.08 0.01 0.26 1.52 0.04
 -------- 00:00 0.08 0.01 0.27 1.51 0.02
 -------- 01:00 0.08 0.00 0.23 1.51 0.01
 -------- 02:00 0.08 0.01 0.23 1.51 0.01
 10.02.13 03:00 0.07 0.01 0.20 1.50 0.01
 -------- 04:00 0.07 0.01 0.20 1.49 0.01
 -------- 05:00 0.07 0.01 0.19 1.49 0.01
 -------- 06:00 0.07 0.00 0.19 1.49 0.01
 -------- 07:00 0.06 0.01 0.17 1.49 0.01
 10.02.13 08:00 0.07 0.01 0.19 1.51 0.01
 -------- 09:00 0.08 0.01 0.21 1.51 0.01
 -------- 10:00 0.08 0.01 0.22 1.53 0.02
 -------- 11:00 0.09 0.00 0.25 1.54 0.03
 -------- 12:00 0.10 0.01 0.25 1.55 0.04
 10.02.13 13:00 0.11 0.01 0.26 1.57 0.06
 -------- 14:00 0.11 0.01 0.23 1.56 0.06
 -------- 15:00 0.14 0.00 0.25 1.63 0.09
 -------- 16:00 0.14 0.01 0.26 1.65 0.10
 -------- 17:00 0.13 0.00 0.26 1.64 0.07
 10.02.13 18:00 0.13 0.00 0.28 1.66 0.07
 -------- 19:00 0.15 0.01 0.29 1.68 0.07
 -------- 20:00 0.13 0.01 0.27 1.66 0.08
 -------- 21:00 0.11 0.01 0.26 1.61 0.05
 -------- 22:00 0.11 0.00 0.25 1.60 0.03
 10.02.13 23:00 0.09 0.01 0.24 1.57 0.04
 -------- 00:00 0.08 0.01 0.18 1.53 0.01
 -------- 01:00 0.08 0.01 0.18 1.53 0.01
 -------- 02:00 0.08 0.01 0.15 1.52 0.01
 -------- 03:00 0.07 0.01 0.14 1.50 0.00
 11.02.13 04:00 0.07 0.01 0.14 1.49 0.00
 -------- 05:00 0.07 0.01 0.17 1.51 0.00
 -------- 06:00 0.10 0.00 0.19 1.57 0.02
 -------- 07:00 0.13 0.01 0.24 1.57 0.08
 -------- 08:00 0.15 0.01 0.28 1.62 0.06
 11.02.13 09:00 0.21 0.01 0.32 1.67 0.12
 -------- 10:00 0.18 0.01 0.32 1.58 0.10
 -------- 11:00 0.13 0.01 0.32 1.58 0.11
