 Date Time CO SO2 NO2 CHX NO
 12.02.13 12:00 0.10 0.01 0.22 1.52 0.03
 -------- 13:00 0.08 0.01 0.20 1.49 0.02
 -------- 14:00 0.08 0.01 0.26 1.48 0.03
 -------- 15:00 0.08 0.01 0.25 1.48 0.02
 -------- 16:00 0.08 0.01 0.27 1.49 0.02
 12.02.13 17:00 0.09 0.01 0.24 1.49 0.02
 -------- 18:00 0.09 0.01 0.27 1.51 0.02
 -------- 19:00 0.08 0.01 0.25 1.50 0.02
 -------- 20:00 0.09 0.01 0.25 1.49 0.01
 -------- 21:00 0.08 0.01 0.25 1.50 0.02
 12.02.13 22:00 0.13 0.01 0.26 1.53 0.02
 -------- 23:00 0.09 0.01 0.21 1.53 0.01
 -------- 00:00 0.08 0.01 0.21 1.51 0.01
 -------- 01:00 0.08 0.01 0.22 1.51 0.01
 -------- 02:00 0.09 0.01 0.21 1.55 0.01
 13.02.13 03:00 0.10 0.01 0.19 1.50 0.00
 -------- 04:00 0.10 0.01 0.20 1.51 0.00
 -------- 05:00 0.10 0.01 0.22 1.54 0.01
 -------- 06:00 0.12 0.01 0.26 1.56 0.02
 -------- 07:00 0.15 0.01 0.32 1.65 0.06
 13.02.13 08:00 0.19 0.01 0.34 1.76 0.17
 -------- 09:00 0.19 0.01 0.34 1.78 0.13
 -------- 10:00 0.19 0.01 0.35 1.80 0.16
 -------- 11:00 0.19 0.01 0.36 1.83 0.14
 -------- 12:00 0.15 0.01 0.35 1.77 0.11
 13.02.13 13:00 0.13 0.01 0.34 1.69 0.09
 -------- 14:00 0.11 0.01 0.30 1.54 0.07
 -------- 15:00 0.11 0.01 0.34 1.60 0.07
 -------- 16:00 0.09 0.01 0.27 1.56 0.03
 -------- 17:00 0.10 0.01 0.27 1.56 0.02
 13.02.13 18:00 0.11 0.01 0.28 1.53 0.02
 -------- 19:00 0.10 0.01 0.32 1.58 0.02
 -------- 20:00 0.10 0.01 0.34 1.57 0.03
 -------- 21:00 0.09 0.01 0.29 1.60 0.02
 -------- 22:00 0.10 0.01 0.34 1.70 0.03
 13.02.13 23:00 0.14 0.01 0.41 1.70 0.07
 -------- 00:00 0.13 0.01 0.43 1.79 0.09
 -------- 01:00 0.11 0.01 0.40 1.63 0.04
 -------- 02:00 0.10 0.01 0.39 1.62 0.02
 -------- 03:00 0.10 0.01 0.37 1.67 0.02
 14.02.13 04:00 0.08 0.01 0.32 1.61 0.01
 -------- 05:00 0.08 0.01 0.29 1.61 0.01
 -------- 06:00 0.09 0.01 0.32 1.61 0.02
 -------- 07:00 0.11 0.01 0.31 1.58 0.03
 -------- 08:00 0.12 0.01 0.33 1.71 0.05
 14.02.13 09:00 0.12 0.01 0.31 1.71 0.04
 -------- 10:00 0.11 0.01 0.30 1.69 0.06
 -------- 11:00 0.13 0.01 0.29 1.61 0.06
