 Date Time CO SO2 NO2 NO
 21.12.12 00:00 0.20 0.01 0.32 0.14
 -------- 01:00 0.19 0.01 0.32 0.10
 -------- 02:00 0.18 0.02 0.30 0.08
 -------- 03:00 0.17 0.02 0.30 0.06
 -------- 04:00 0.16 0.01 0.29 0.05
 21.12.12 05:00 0.16 0.01 0.28 0.05
 -------- 06:00 0.21 0.02 0.28 0.07
 -------- 07:00 0.19 0.02 0.29 0.10
 -------- 08:00 0.25 0.02 0.36 0.17
 -------- 09:00 0.26 0.02 0.32 0.18
 21.12.12 10:00 0.29 0.02 0.32 0.21
 -------- 11:00 0.28 0.02 0.31 0.21
 -------- 12:00 0.27 0.02 0.31 0.19
 -------- 13:00 0.26 0.02 0.29 0.19
 -------- 14:00 0.30 0.03 0.34 0.27
 21.12.12 15:00 0.29 0.02 0.35 0.29
 -------- 16:00 0.31 0.00 0.37 0.36
 -------- 17:00 0.29 0.02 0.35 0.31
 -------- 18:00 0.19 0.02 0.35 0.31
 -------- 19:00 0.20 0.01 0.35 0.30
 21.12.12 20:00 0.27 0.01 0.39 0.46
 -------- 21:00 0.23 0.01 0.37 0.40
 -------- 22:00 0.20 0.01 0.35 0.29
 -------- 23:00 0.17 0.01 0.35 0.23
 -------- 00:00 0.15 0.01 0.34 0.20
 22.12.12 01:00 0.14 0.01 0.33 0.16
 -------- 02:00 0.13 0.01 0.33 0.16
 -------- 03:00 0.11 0.02 0.34 0.12
 -------- 04:00 0.11 0.01 0.34 0.11
 -------- 05:00 0.10 0.00 0.34 0.10
 22.12.12 06:00 0.13 0.02 0.36 0.17
 -------- 07:00 0.15 0.01 0.42 0.20
 -------- 08:00 0.15 0.00 0.39 0.22
 -------- 09:00 0.15 0.01 0.37 0.16
 -------- 10:00 0.14 0.01 0.38 0.12
 22.12.12 11:00 0.16 0.01 0.38 0.19
 -------- 12:00 0.17 0.01 0.39 0.23
 -------- 13:00 0.17 0.02 0.39 0.23
 -------- 14:00 0.13 0.00 0.38 0.15
 -------- 15:00 0.10 0.01 0.35 0.08
 22.12.12 16:00 0.09 0.01 0.34 0.06
 -------- 17:00 0.09 0.00 0.34 0.05
 -------- 18:00 0.11 0.01 0.31 0.04
 -------- 19:00 0.09 0.01 0.35 0.06
 -------- 20:00 0.08 0.00 0.36 0.05
 22.12.12 21:00 0.10 0.01 0.36 0.06
 -------- 22:00 0.13 0.01 0.34 0.05
 -------- 23:00 0.10 0.01 0.34 0.05
