 Date Time CO SO2 NO2 CHX NO
 05.02.13 12:00 0.12 0.01 0.34 1.58 0.11
 -------- 13:00 0.12 0.01 0.31 1.54 0.10
 -------- 14:00 0.11 0.01 0.27 1.55 0.11
 -------- 15:00 0.12 0.01 0.35 1.61 0.13
 -------- 16:00 0.11 0.01 0.34 1.60 0.10
 05.02.13 17:00 0.12 0.01 0.34 1.59 0.06
 -------- 18:00 0.11 0.01 0.37 1.59 0.05
 -------- 19:00 0.13 0.01 0.39 1.58 0.06
 -------- 20:00 0.10 0.01 0.35 1.56 0.04
 -------- 21:00 0.09 0.01 0.30 1.55 0.02
 05.02.13 22:00 0.08 0.01 0.26 1.53 0.02
 -------- 23:00 0.08 0.01 0.25 1.51 0.01
 -------- 00:00 0.08 0.00 0.20 1.50 0.01
 -------- 01:00 0.08 0.00 0.21 1.48 0.01
 -------- 02:00 0.07 0.01 0.18 1.46 0.00
 06.02.13 03:00 0.06 0.01 0.14 1.43 0.00
 -------- 04:00 0.06 0.01 0.14 1.43 0.00
 -------- 05:00 0.06 0.01 0.15 1.43 0.00
 -------- 06:00 0.07 0.01 0.17 1.44 0.01
 -------- 07:00 0.08 0.01 0.23 1.45 0.02
 06.02.13 08:00 0.10 0.01 0.26 1.47 0.02
 -------- 09:00 0.10 0.01 0.25 1.48 0.03
 -------- 10:00 0.09 0.01 0.23 1.46 0.02
 -------- 11:00 0.09 0.01 0.24 1.47 0.03
 -------- 12:00 0.11 0.01 0.27 1.47 0.05
 06.02.13 13:00 0.09 0.01 0.26 1.47 0.04
 -------- 14:00 0.11 0.00 0.31 1.52 0.05
 -------- 15:00 0.15 0.00 0.38 1.66 0.07
 -------- 16:00 0.14 0.01 0.42 1.67 0.07
 -------- 17:00 0.13 0.01 0.39 1.57 0.05
 06.02.13 18:00 0.13 0.01 0.32 1.56 0.04
 -------- 19:00 0.13 0.01 0.27 1.55 0.03
 -------- 20:00 0.11 0.01 0.26 1.55 0.03
 -------- 21:00 0.11 0.01 0.29 1.58 0.03
 -------- 22:00 0.10 0.01 0.25 1.53 0.02
 06.02.13 23:00 0.09 0.01 0.22 1.51 0.01
 -------- 00:00 0.08 0.00 0.23 1.50 0.01
 -------- 01:00 0.10 0.01 0.27 1.55 0.01
 -------- 02:00 0.08 0.01 0.25 1.52 0.01
 -------- 03:00 0.07 0.01 0.21 1.51 0.00
 07.02.13 04:00 0.07 0.01 0.22 1.52 0.01
 -------- 05:00 0.07 0.01 0.24 1.52 0.01
 -------- 06:00 0.08 0.01 0.25 1.50 0.01
 -------- 07:00 0.11 0.01 0.28 1.54 0.04
 -------- 08:00 0.15 0.01 0.32 1.61 0.06
 07.02.13 09:00 0.15 0.01 0.33 1.59 0.07
 -------- 10:00 0.14 0.01 0.33 1.56 0.07
 -------- 11:00 0.14 0.01 0.31 1.57 0.08
