 Date Time CO SO2 NO2 CHX NO
 01.02.13 00:00 0.09 0.01 0.31 1.61 0.03
 -------- 01:00 0.10 0.01 0.29 1.62 0.02
 -------- 02:00 0.09 0.01 0.29 1.62 0.02
 -------- 03:00 0.10 0.01 0.25 1.62 0.02
 -------- 04:00 0.10 0.01 0.26 1.62 0.02
 01.02.13 05:00 0.10 0.01 0.26 1.63 0.02
 -------- 06:00 0.11 0.00 0.28 1.66 0.04
 -------- 07:00 0.16 0.01 0.30 1.70 0.09
 -------- 08:00 0.15 0.01 0.32 1.71 0.11
 -------- 09:00 0.16 0.01 0.33 1.72 0.13
 01.02.13 10:00 0.15 0.01 0.33 1.71 0.14
 -------- 11:00 0.16 0.01 0.32 1.72 0.13
 -------- 12:00 0.14 0.00 0.32 1.72 0.13
 -------- 13:00 0.16 0.01 0.32 1.73 0.14
 -------- 14:00 0.15 0.01 0.32 1.71 0.14
 01.02.13 15:00 0.15 0.01 0.34 1.72 0.13
 -------- 16:00 0.17 0.01 0.35 1.72 0.13
 -------- 17:00 0.18 0.01 0.35 1.73 0.14
 -------- 18:00 0.19 0.01 0.36 1.77 0.17
 -------- 19:00 0.19 0.01 0.37 1.77 0.17
 01.02.13 20:00 0.17 0.01 0.37 1.78 0.16
 -------- 21:00 0.15 0.00 0.35 1.73 0.09
 -------- 22:00 0.16 0.01 0.34 1.74 0.08
 -------- 23:00 0.16 0.01 0.34 1.75 0.09
 -------- 00:00 0.13 0.01 0.32 1.69 0.07
 02.02.13 01:00 0.10 0.01 0.26 1.63 0.02
 -------- 02:00 0.08 0.01 0.22 1.53 0.01
 -------- 03:00 0.06 0.01 0.20 1.50 0.01
 -------- 04:00 0.08 0.01 0.21 1.55 0.01
 -------- 05:00 0.06 0.01 0.21 1.51 0.01
 02.02.13 06:00 0.07 0.01 0.24 1.50 0.01
 -------- 07:00 0.09 0.01 0.24 1.54 0.08
 -------- 08:00 0.09 0.00 0.25 1.50 0.03
 -------- 09:00 0.11 0.01 0.28 1.55 0.04
 -------- 10:00 0.16 0.01 0.32 1.60 0.12
 02.02.13 11:00 0.11 0.01 0.27 1.54 0.06
 -------- 12:00 0.09 0.01 0.22 1.51 0.04
 -------- 13:00 0.10 0.01 0.23 1.51 0.05
 -------- 14:00 0.10 0.01 0.22 1.51 0.04
 -------- 15:00 0.11 0.01 0.27 1.53 0.07
 02.02.13 16:00 0.13 0.01 0.30 1.57 0.08
 -------- 17:00 0.15 0.01 0.35 1.61 0.11
 -------- 18:00 0.17 0.01 0.37 1.68 0.12
 -------- 19:00 0.13 0.01 0.31 1.58 0.04
 -------- 20:00 0.11 0.01 0.29 1.58 0.04
 02.02.13 21:00 0.10 0.01 0.29 1.55 0.03
 -------- 22:00 0.11 0.01 0.29 1.54 0.03
 -------- 23:00 0.17 0.01 0.31 1.68 0.07
