 Date Time CO SO2 NO2 NO
 14.12.12 12:00 0.09 0.02 0.24 0.04
 -------- 13:00 0.10 0.02 0.25 0.06
 -------- 14:00 0.11 0.02 0.25 0.05
 -------- 15:00 0.09 0.02 0.25 0.04
 -------- 16:00 0.08 0.02 0.25 0.04
 14.12.12 17:00 0.09 0.01 0.28 0.04
 -------- 18:00 0.09 0.01 0.30 0.03
 -------- 19:00 0.08 0.01 0.28 0.03
 -------- 20:00 0.08 0.01 0.25 0.02
 -------- 21:00 0.08 0.02 0.26 0.02
 14.12.12 22:00 0.06 0.01 0.25 0.02
 -------- 23:00 0.07 0.01 0.25 0.02
 -------- 00:00 0.07 0.02 0.25 0.02
 -------- 01:00 0.06 0.01 0.24 0.02
 -------- 02:00 0.06 0.01 0.24 0.01
 15.12.12 03:00 0.06 0.01 0.22 0.01
 -------- 04:00 0.06 0.01 0.21 0.01
 -------- 05:00 0.06 0.01 0.20 0.01
 -------- 06:00 0.06 0.01 0.21 0.01
 -------- 07:00 0.07 0.01 0.24 0.02
 15.12.12 08:00 0.11 0.01 0.27 0.03
 -------- 09:00 1.99 0.02 0.30 0.06
 -------- 10:00 15.49 0.02 0.30 0.07
 -------- 11:00 14.40 0.02 0.28 0.09
 -------- 12:00 2.53 0.02 0.27 0.11
 15.12.12 13:00 ---- 0.02 0.27 0.10
 -------- 14:00 ---- 0.02 0.28 0.10
 -------- 15:00 ---- 0.02 0.32 0.09
 -------- 16:00 ---- 0.02 0.34 0.09
 -------- 17:00 ---- 0.02 0.36 0.09
 15.12.12 18:00 ---- 0.02 0.35 0.07
 -------- 19:00 ---- 0.01 0.34 0.06
 -------- 20:00 ---- 0.02 0.34 0.06
 -------- 21:00 ---- 0.02 0.35 0.07
 -------- 22:00 8.62 0.02 0.34 0.09
 15.12.12 23:00 ---- 0.02 0.34 0.12
 -------- 00:00 ---- 0.03 0.34 0.11
 -------- 01:00 ---- 0.03 0.33 0.11
 -------- 02:00 ---- 0.03 0.32 0.10
 -------- 03:00 ---- 0.03 0.31 0.09
 16.12.12 04:00 ---- 0.03 0.31 0.10
 -------- 05:00 ---- 0.03 0.30 0.09
 -------- 06:00 ---- 0.03 0.30 0.10
 -------- 07:00 19.06 0.03 0.30 0.11
 -------- 08:00 15.28 0.03 0.30 0.13
 16.12.12 09:00 ---- 0.03 0.30 0.14
 -------- 10:00 ---- 0.03 0.32 0.19
 -------- 11:00 16.64 0.04 0.32 0.22
