 Date Time CO SO2 NO2 CHX NO
 04.04.13 00:00 0.08 0.01 0.24 1.47 0.02
 -------- 01:00 0.07 0.01 0.17 1.48 0.01
 -------- 02:00 0.09 0.01 0.18 1.50 0.00
 -------- 03:00 0.07 0.01 0.20 1.48 0.00
 -------- 04:00 0.08 0.01 0.24 1.47 0.02
 04.04.13 05:00 0.08 0.01 0.13 1.50 0.00
 -------- 06:00 0.09 0.01 0.23 1.50 0.01
 -------- 07:00 0.14 0.01 0.35 1.55 0.05
 -------- 08:00 0.13 0.01 0.28 1.55 0.04
 -------- 09:00 0.12 0.01 0.27 1.59 0.05
 04.04.13 10:00 0.09 0.01 0.20 1.55 0.04
 -------- 11:00 0.08 0.01 0.14 1.47 0.02
 -------- 12:00 0.08 0.01 0.09 1.45 0.02
 -------- 13:00 0.09 0.00 0.12 1.45 0.02
 -------- 14:00 0.08 0.00 0.10 1.43 0.02
 04.04.13 15:00 0.08 0.01 0.08 1.42 0.01
 -------- 16:00 0.08 0.01 0.13 1.44 0.03
 -------- 17:00 0.08 0.01 0.11 1.44 0.01
 -------- 18:00 0.09 0.01 0.15 1.46 0.01
 -------- 19:00 0.11 0.01 0.26 1.49 0.02
 04.04.13 20:00 0.11 0.00 0.27 1.50 0.01
 -------- 21:00 0.12 0.00 0.30 1.55 0.02
 -------- 22:00 0.13 0.01 0.26 1.50 0.01
 -------- 23:00 0.08 0.01 0.17 1.47 0.01
 -------- 00:00 0.08 0.01 0.18 1.48 0.00
 05.04.13 01:00 0.07 0.01 0.12 1.46 0.00
 -------- 02:00 0.06 0.01 0.12 1.45 0.00
 -------- 03:00 0.06 0.01 0.11 1.46 ----
 -------- 04:00 0.06 0.01 0.15 1.48 ----
 -------- 05:00 0.06 0.01 0.10 1.53 ----
 05.04.13 06:00 0.07 0.01 0.16 1.56 0.00
 -------- 07:00 0.10 0.01 0.25 1.58 0.01
 -------- 08:00 0.16 0.01 0.29 1.68 0.04
 -------- 09:00 0.11 0.01 0.24 1.66 0.03
 -------- 10:00 0.13 0.01 0.23 1.59 0.03
 05.04.13 11:00 0.13 0.01 0.27 1.65 0.05
 -------- 12:00 0.13 0.01 0.25 1.69 0.05
 -------- 13:00 0.14 0.01 0.26 1.65 0.05
 -------- 14:00 0.15 0.01 0.30 1.66 0.05
 -------- 15:00 0.13 0.01 0.30 1.57 0.04
 05.04.13 16:00 0.13 0.01 0.28 1.58 0.03
 -------- 17:00 0.14 0.01 0.35 1.65 0.04
 -------- 18:00 0.15 0.01 0.37 1.61 0.04
 -------- 19:00 0.15 0.01 0.37 1.64 0.04
 -------- 20:00 0.17 0.01 0.42 1.67 0.05
 05.04.13 21:00 0.15 0.01 0.43 1.67 0.07
 -------- 22:00 0.17 0.01 0.40 1.67 0.07
 -------- 23:00 0.17 0.01 0.36 1.67 0.06
