 Date Time CO SO2 NO2 CHX NO
 02.02.13 12:00 0.09 0.01 0.22 1.50 0.05
 -------- 13:00 0.10 0.01 0.23 1.51 0.05
 -------- 14:00 0.10 0.01 0.22 1.51 0.04
 -------- 15:00 0.11 0.01 0.27 1.53 0.07
 -------- 16:00 0.13 0.01 0.30 1.57 0.08
 02.02.13 17:00 0.15 0.01 0.35 1.61 0.11
 -------- 18:00 0.17 0.01 0.37 1.68 0.12
 -------- 19:00 0.13 0.01 0.31 1.58 0.04
 -------- 20:00 0.11 0.01 0.29 1.58 0.04
 -------- 21:00 0.10 0.01 0.29 1.55 0.03
 02.02.13 22:00 0.11 0.01 0.29 1.54 0.03
 -------- 23:00 0.17 0.01 0.31 1.68 0.07
 -------- 00:00 0.28 0.01 0.35 1.98 0.34
 -------- 01:00 0.37 0.01 0.38 2.13 0.57
 -------- 02:00 0.14 0.01 0.34 1.75 0.17
 03.02.13 03:00 0.15 0.00 0.34 1.77 0.16
 -------- 04:00 0.11 0.01 0.32 1.67 0.08
 -------- 05:00 0.07 0.01 0.25 1.57 0.01
 -------- 06:00 0.07 0.00 0.27 1.59 0.02
 -------- 07:00 0.08 0.00 0.28 1.56 0.02
 03.02.13 08:00 0.09 0.01 0.31 1.55 0.03
 -------- 09:00 0.09 0.01 0.28 1.53 0.02
 -------- 10:00 0.08 0.01 0.31 1.55 0.03
 -------- 11:00 0.08 0.01 0.29 1.54 0.04
 -------- 12:00 0.10 0.01 0.29 1.55 0.04
 03.02.13 13:00 0.10 0.01 0.27 1.52 0.04
 -------- 14:00 0.10 0.01 0.27 1.52 0.03
 -------- 15:00 0.11 0.01 0.29 1.52 0.03
 -------- 16:00 0.11 0.01 0.28 1.54 0.03
 -------- 17:00 0.12 0.01 0.27 1.53 0.02
 03.02.13 18:00 0.12 0.01 0.30 1.55 0.03
 -------- 19:00 0.12 0.01 0.34 1.56 0.03
 -------- 20:00 0.12 0.01 0.35 1.58 0.05
 -------- 21:00 0.12 0.01 0.36 1.60 0.05
 -------- 22:00 0.12 0.01 0.34 1.62 0.04
 03.02.13 23:00 0.09 0.01 0.30 1.58 0.02
 -------- 00:00 0.09 0.01 0.22 1.53 0.01
 -------- 01:00 0.07 0.00 0.19 1.53 0.01
 -------- 02:00 0.06 0.01 0.18 1.51 0.01
 -------- 03:00 0.06 0.01 0.17 1.52 0.00
 04.02.13 04:00 0.06 0.01 0.18 1.52 0.01
 -------- 05:00 0.08 0.01 0.23 1.53 0.02
 -------- 06:00 0.18 0.01 0.30 1.68 0.07
 -------- 07:00 0.18 0.01 0.33 1.67 0.13
 -------- 08:00 0.38 0.01 0.34 1.90 0.40
 04.02.13 09:00 0.47 0.01 0.53 2.11 0.90
 -------- 10:00 0.35 0.01 0.46 2.02 0.56
 -------- 11:00 0.21 0.01 0.35 1.78 0.27
