 Date Time CO SO2 NO2 NO
 13.12.12 10:00 0.08 0.01 0.24 0.03
 -------- 11:00 0.08 0.01 0.22 0.03
 -------- 12:00 0.07 0.01 0.19 0.02
 -------- 13:00 0.08 0.01 0.21 0.03
 -------- 14:00 0.08 0.01 0.21 0.03
 13.12.12 15:00 0.08 0.02 0.21 0.03
 -------- 16:00 0.08 0.02 0.22 0.03
 -------- 17:00 0.09 0.02 0.23 0.03
 -------- 18:00 0.08 0.02 0.23 0.02
 -------- 19:00 0.07 0.02 0.20 0.02
 13.12.12 20:00 0.07 0.02 0.19 0.02
 -------- 21:00 0.08 0.01 0.20 0.02
 -------- 22:00 0.08 0.01 0.20 0.02
 -------- 23:00 0.07 0.01 0.21 0.02
 -------- 00:00 0.06 0.01 0.15 0.01
 14.12.12 01:00 0.06 0.01 0.14 0.01
 -------- 02:00 0.05 0.01 0.13 0.01
 -------- 03:00 0.05 0.01 0.12 0.00
 -------- 04:00 0.04 0.01 0.12 0.01
 -------- 05:00 0.05 0.01 0.11 0.01
 14.12.12 06:00 0.06 0.01 0.14 0.01
 -------- 07:00 0.08 0.01 0.21 0.02
 -------- 08:00 0.10 0.02 0.22 0.03
 -------- 09:00 0.09 0.02 0.24 0.03
 -------- 10:00 0.09 0.01 0.26 0.05
 14.12.12 11:00 0.10 0.02 0.25 0.05
 -------- 12:00 0.09 0.02 0.24 0.04
 -------- 13:00 0.10 0.02 0.25 0.06
 -------- 14:00 0.11 0.02 0.25 0.05
 -------- 15:00 0.09 0.02 0.25 0.04
 14.12.12 16:00 0.08 0.02 0.25 0.04
 -------- 17:00 0.09 0.01 0.28 0.04
 -------- 18:00 0.09 0.01 0.30 0.03
 -------- 19:00 0.08 0.01 0.28 0.03
 -------- 20:00 0.08 0.01 0.25 0.02
 14.12.12 21:00 0.08 0.02 0.26 0.02
 -------- 22:00 0.06 0.01 0.25 0.02
 -------- 23:00 0.07 0.01 0.25 0.02
 -------- 00:00 0.07 0.02 0.25 0.02
 -------- 01:00 0.06 0.01 0.24 0.02
 15.12.12 02:00 0.06 0.01 0.24 0.01
 -------- 03:00 0.06 0.01 0.22 0.01
 -------- 04:00 0.06 0.01 0.21 0.01
 -------- 05:00 0.06 0.01 0.20 0.01
 -------- 06:00 0.06 0.01 0.21 0.01
 15.12.12 07:00 0.07 0.01 0.24 0.02
 -------- 08:00 0.11 0.01 0.27 0.03
 -------- 09:00 1.99 0.02 0.30 0.06
