 Date Time CO SO2 NO2 CHX NO
 12.12.12 00:00 0.08 0.01 0.29 1.54 0.04
 -------- 01:00 0.07 0.02 0.29 1.52 0.03
 -------- 02:00 0.06 0.01 0.26 1.50 0.01
 -------- 03:00 0.06 0.01 0.21 1.48 0.01
 -------- 04:00 0.06 0.01 0.21 1.50 0.01
 12.12.12 05:00 0.07 0.02 0.26 1.51 0.02
 -------- 06:00 0.09 0.01 0.28 1.59 0.04
 -------- 07:00 0.11 0.01 0.30 1.65 0.05
 -------- 08:00 0.15 0.01 0.31 1.67 0.08
 -------- 09:00 0.13 0.01 0.32 1.62 0.11
 12.12.12 10:00 0.13 0.02 0.30 1.61 0.11
 -------- 11:00 0.12 0.02 0.29 1.70 0.14
 -------- 12:00 0.12 0.02 0.27 1.89 0.13
 -------- 13:00 0.12 0.02 0.26 1.59 0.12
 -------- 14:00 0.11 0.03 0.28 1.61 0.14
 12.12.12 15:00 0.13 0.02 0.28 1.66 0.13
 -------- 16:00 0.13 0.02 0.31 1.70 0.14
 -------- 17:00 0.13 0.02 0.33 1.68 0.15
 -------- 18:00 0.11 0.02 0.31 1.70 0.09
 -------- 19:00 0.11 0.02 0.30 1.68 0.07
 12.12.12 20:00 0.17 0.01 0.27 2.05 0.05
 -------- 21:00 0.09 0.01 0.25 1.60 0.04
 -------- 22:00 0.08 0.01 0.25 1.59 0.03
 -------- 23:00 0.07 0.02 0.24 1.55 0.03
 -------- 00:00 0.06 0.01 0.22 1.56 0.02
 13.12.12 01:00 0.06 0.01 0.19 1.59 0.01
 -------- 02:00 0.06 0.01 0.17 1.56 0.01
 -------- 03:00 0.06 0.01 0.16 1.54 0.01
 -------- 04:00 0.06 0.01 0.13 1.49 0.01
 -------- 05:00 0.06 0.01 0.14 1.49 0.01
 13.12.12 06:00 0.06 0.01 0.18 1.49 0.01
 -------- 07:00 0.07 0.01 0.19 1.53 0.01
 -------- 08:00 0.09 0.02 0.20 1.51 0.02
 -------- 09:00 0.07 0.02 0.22 1.50 0.02
 -------- 10:00 0.08 0.01 0.24 1.51 0.03
 13.12.12 11:00 0.08 0.01 0.22 1.52 0.03
 -------- 12:00 0.07 0.01 0.19 1.51 0.02
 -------- 13:00 0.08 0.01 0.21 1.51 0.03
 -------- 14:00 0.08 0.01 0.21 1.49 0.03
 -------- 15:00 0.08 0.02 0.21 1.48 0.03
 13.12.12 16:00 0.08 0.02 0.22 1.49 0.03
 -------- 17:00 0.09 0.02 0.23 1.49 0.03
 -------- 18:00 0.08 0.02 0.23 1.49 0.02
 -------- 19:00 0.07 0.02 0.20 1.49 0.02
 -------- 20:00 0.07 0.02 0.19 1.48 0.02
 13.12.12 21:00 0.08 0.01 0.20 1.50 0.02
 -------- 22:00 0.08 0.01 0.20 1.52 0.02
 -------- 23:00 0.06 0.01 0.21 1.50 0.01
