 Date Time CO SO2 NO2 CHX NO
 28.12.12 00:00 0.09 0.00 0.23 1.59 0.04
 -------- 01:00 0.08 0.01 0.21 1.56 0.04
 -------- 02:00 0.06 0.01 0.15 1.50 0.01
 -------- 03:00 0.04 0.01 0.11 1.43 0.00
 -------- 04:00 0.04 0.01 0.10 1.45 0.00
 28.12.12 05:00 0.04 0.01 0.11 1.45 0.00
 -------- 06:00 0.06 0.01 0.14 1.46 0.01
 -------- 07:00 0.08 0.01 0.24 1.55 0.04
 -------- 08:00 ---- 0.01 0.29 1.62 0.06
 -------- 09:00 ---- 0.01 0.29 1.59 0.06
 28.12.12 10:00 ---- 0.01 0.29 1.55 0.07
 -------- 11:00 ---- 0.01 0.29 1.54 0.09
 -------- 12:00 ---- 0.01 0.26 1.52 0.06
 -------- 13:00 ---- 0.01 0.23 1.50 0.05
 -------- 14:00 ---- 0.01 0.24 1.49 0.05
 28.12.12 15:00 ---- 0.01 0.24 1.48 0.05
 -------- 16:00 ---- 0.01 0.20 1.48 0.03
 -------- 17:00 ---- 0.01 0.25 1.50 0.05
 -------- 18:00 ---- 0.01 0.22 1.48 0.03
 -------- 19:00 ---- 0.01 0.21 1.48 0.03
 28.12.12 20:00 ---- 0.01 0.19 1.49 0.02
 -------- 21:00 ---- 0.01 0.16 1.44 0.01
 -------- 22:00 ---- 0.01 0.13 1.41 0.01
 -------- 23:00 ---- 0.01 0.13 1.41 0.01
 -------- 00:00 ---- 0.01 0.13 1.41 0.00
 29.12.12 01:00 ---- 0.01 0.12 1.40 0.00
 -------- 02:00 ---- 0.01 0.10 1.45 0.00
 -------- 03:00 ---- 0.01 0.07 1.39 0.00
 -------- 04:00 ---- 0.01 0.08 1.38 0.00
 -------- 05:00 ---- 0.01 0.09 1.39 0.00
 29.12.12 06:00 ---- 0.01 0.10 1.39 0.00
 -------- 07:00 0.06 0.01 0.16 1.40 0.01
 -------- 08:00 0.06 0.01 0.18 1.41 0.01
 -------- 09:00 0.06 0.01 0.17 1.41 0.01
 -------- 10:00 0.06 0.01 0.17 1.41 0.01
 29.12.12 11:00 0.06 0.01 0.20 1.42 0.02
 -------- 12:00 0.07 0.01 0.26 1.60 0.03
 -------- 13:00 0.07 0.01 0.25 1.71 0.04
 -------- 14:00 0.07 0.01 0.26 1.70 0.04
 -------- 15:00 0.06 0.01 0.14 1.57 0.01
 29.12.12 16:00 0.05 0.01 0.10 1.54 0.01
 -------- 17:00 0.06 0.01 0.09 1.58 0.01
 -------- 18:00 0.06 0.01 0.10 1.70 0.00
 -------- 19:00 0.05 0.01 0.11 1.69 0.00
 -------- 20:00 0.04 0.01 0.10 1.73 0.00
 29.12.12 21:00 0.05 0.01 0.10 1.76 0.00
 -------- 22:00 0.04 0.01 0.10 1.55 0.00
 -------- 23:00 0.04 0.01 0.09 1.47 0.00
