 Date Time CO SO2 NO2 CHX NO
 24.03.13 12:00 0.06 0.01 0.01 1.34 0.01
 -------- 13:00 0.06 0.01 0.01 1.33 0.01
 -------- 14:00 0.05 0.00 0.01 1.30 0.01
 -------- 15:00 0.05 0.01 0.01 1.30 0.01
 -------- 16:00 0.05 0.01 0.01 1.28 0.01
 24.03.13 17:00 0.05 0.01 0.02 1.28 0.01
 -------- 18:00 0.06 0.01 0.02 1.27 0.00
 -------- 19:00 0.06 0.00 0.01 1.26 0.00
 -------- 20:00 0.05 0.01 0.01 1.24 0.00
 -------- 21:00 0.04 0.01 0.01 1.22 0.00
 24.03.13 22:00 0.05 0.01 0.03 1.22 0.01
 -------- 23:00 0.05 0.01 0.04 1.22 0.00
 -------- 00:00 0.04 0.01 0.03 1.20 0.00
 -------- 01:00 0.04 0.00 0.03 1.17 0.00
 -------- 02:00 0.05 0.01 0.03 1.19 0.01
 25.03.13 03:00 0.04 0.01 0.05 1.17 0.00
 -------- 04:00 0.04 0.02 0.05 1.15 ----
 -------- 05:00 0.04 0.01 0.04 1.16 0.00
 -------- 06:00 0.06 0.00 0.07 1.15 0.00
 -------- 07:00 0.06 0.01 0.12 1.17 0.00
 25.03.13 08:00 0.08 0.01 0.12 1.18 0.01
 -------- 09:00 0.06 0.01 0.11 1.17 0.01
 -------- 10:00 0.06 0.01 0.09 1.16 0.02
 -------- 11:00 0.06 0.01 0.09 0.81 0.02
 -------- 12:00 0.07 0.00 0.08 0.96 0.02
 25.03.13 13:00 0.04 0.01 0.06 1.36 0.02
 -------- 14:00 0.06 0.01 0.08 1.52 0.02
 -------- 15:00 0.06 0.01 0.07 1.50 0.02
 -------- 16:00 0.05 0.01 0.06 1.43 0.02
 -------- 17:00 0.06 0.01 0.09 1.38 0.01
 25.03.13 18:00 0.06 0.01 0.12 1.39 0.02
 -------- 19:00 0.09 0.01 0.11 1.42 0.01
 -------- 20:00 0.08 0.00 0.14 1.60 0.01
 -------- 21:00 0.06 0.01 0.06 1.46 0.01
 -------- 22:00 0.07 0.01 0.07 1.41 0.01
 25.03.13 23:00 0.06 0.01 0.05 1.40 0.00
 -------- 00:00 0.06 0.01 0.03 1.40 0.00
 -------- 01:00 0.06 0.00 0.02 1.40 0.00
 -------- 02:00 0.05 0.01 0.01 1.40 ----
 -------- 03:00 0.04 0.01 0.02 1.40 0.00
 26.03.13 04:00 0.04 0.01 0.03 1.45 ----
 -------- 05:00 0.05 0.01 0.04 1.44 0.00
 -------- 06:00 0.06 0.01 0.07 1.43 0.00
 -------- 07:00 0.07 0.01 0.12 1.44 0.01
 -------- 08:00 0.15 0.01 0.11 1.51 0.02
 26.03.13 09:00 0.07 0.01 0.10 1.46 0.02
 -------- 10:00 0.06 0.01 0.06 1.45 0.02
 -------- 11:00 0.06 0.01 0.02 1.46 0.02
