 Date Time CO SO2 NO2 CHX NO
 22.03.13 00:00 0.17 0.01 0.49 1.80 0.19
 -------- 01:00 0.21 0.01 0.55 2.46 0.20
 -------- 02:00 0.15 0.01 0.54 2.42 0.18
 -------- 03:00 0.12 0.01 0.49 2.38 0.08
 -------- 04:00 0.09 0.02 0.43 1.73 0.03
 22.03.13 05:00 0.06 0.01 0.27 1.67 0.01
 -------- 06:00 0.07 0.01 0.26 1.70 0.01
 -------- 07:00 0.09 0.02 0.30 1.83 0.04
 -------- 08:00 0.19 0.01 0.30 1.95 0.05
 -------- 09:00 0.13 0.00 0.25 1.78 0.06
 22.03.13 10:00 0.14 0.01 0.24 1.85 0.07
 -------- 11:00 0.10 0.01 0.20 1.78 0.07
 -------- 12:00 0.09 0.00 0.16 1.73 0.05
 -------- 13:00 0.06 0.01 0.09 1.76 0.03
 -------- 14:00 0.06 0.01 0.07 1.64 0.02
 22.03.13 15:00 0.07 0.00 0.09 1.54 0.02
 -------- 16:00 0.07 0.01 0.11 1.51 0.02
 -------- 17:00 0.08 0.01 0.12 1.50 0.02
 -------- 18:00 0.08 0.01 0.15 1.49 0.02
 -------- 19:00 0.08 0.01 0.20 1.50 0.03
 22.03.13 20:00 0.09 0.01 0.21 1.50 0.02
 -------- 21:00 0.08 0.01 0.17 1.49 0.02
 -------- 22:00 0.08 0.01 0.20 1.49 0.02
 -------- 23:00 0.09 0.01 0.24 1.57 0.05
 -------- 00:00 0.09 0.00 0.24 1.47 0.06
 23.03.13 01:00 0.07 0.00 0.16 1.44 0.02
 -------- 02:00 0.06 0.01 0.13 1.44 0.01
 -------- 03:00 0.06 0.01 0.11 1.44 0.01
 -------- 04:00 0.06 0.00 0.07 1.46 0.00
 -------- 05:00 0.06 0.01 0.09 1.47 0.00
 23.03.13 06:00 0.07 0.01 0.10 1.49 0.01
 -------- 07:00 0.07 0.00 0.12 1.48 0.01
 -------- 08:00 0.12 0.02 0.16 1.52 0.02
 -------- 09:00 0.09 0.01 0.15 1.50 0.02
 -------- 10:00 0.11 0.00 0.18 1.50 0.03
 23.03.13 11:00 0.07 0.01 0.13 1.47 0.03
 -------- 12:00 0.07 0.01 0.07 1.45 0.02
 -------- 13:00 0.06 0.01 0.04 1.45 0.01
 -------- 14:00 0.06 0.01 0.06 1.44 0.01
 -------- 15:00 0.07 0.01 0.04 1.45 0.01
 23.03.13 16:00 0.06 0.01 0.06 1.44 0.01
 -------- 17:00 0.06 0.01 0.06 1.44 0.01
 -------- 18:00 0.06 0.01 0.07 1.45 0.01
 -------- 19:00 0.06 0.01 0.09 1.45 0.01
 -------- 20:00 0.06 0.00 0.08 1.45 0.01
 23.03.13 21:00 0.06 0.01 0.10 1.45 0.01
 -------- 22:00 0.06 0.01 0.09 1.45 0.00
 -------- 23:00 0.06 0.01 0.09 1.46 0.00
