 Date Time CO NO2 NO
 03.11.12 12:00 0.09 0.12 0.04
 -------- 13:00 0.08 0.11 0.04
 -------- 14:00 0.09 0.10 0.04
 -------- 15:00 0.09 0.11 0.05
 -------- 16:00 0.07 0.10 0.04
 03.11.12 17:00 0.06 0.09 0.03
 -------- 18:00 0.06 0.08 0.03
 -------- 19:00 0.10 0.07 0.03
 -------- 20:00 0.07 0.06 0.03
 -------- 21:00 0.07 0.05 0.03
 03.11.12 22:00 0.06 0.06 0.03
 -------- 23:00 0.06 0.06 0.02
 -------- 00:00 0.06 0.05 0.02
 -------- 01:00 0.06 0.05 0.02
 -------- 02:00 0.06 0.03 0.01
 04.11.12 03:00 0.05 0.03 0.01
 -------- 04:00 0.05 0.03 0.01
 -------- 05:00 0.05 0.02 0.01
 -------- 06:00 0.05 0.02 0.01
 -------- 07:00 0.06 0.04 0.02
 04.11.12 08:00 0.06 0.05 0.03
 -------- 09:00 0.06 0.06 0.03
 -------- 10:00 0.07 0.06 0.04
 -------- 11:00 0.07 0.06 0.04
 -------- 12:00 0.07 0.06 0.03
 04.11.12 13:00 0.08 0.06 0.03
 -------- 14:00 0.06 0.06 0.03
 -------- 15:00 0.07 0.06 0.03
 -------- 16:00 0.06 0.07 0.03
 -------- 17:00 0.06 0.07 0.03
 04.11.12 18:00 0.07 0.08 0.03
 -------- 19:00 0.07 0.07 0.03
 -------- 20:00 0.06 0.06 0.03
 -------- 21:00 0.05 0.05 0.02
 -------- 22:00 0.05 0.04 0.02
 04.11.12 23:00 0.04 0.03 0.01
 -------- 00:00 0.03 0.06 0.01
 -------- 01:00 0.03 0.05 0.01
 -------- 02:00 0.04 0.02 0.01
 -------- 03:00 0.02 0.02 0.01
 05.11.12 04:00 0.03 0.02 0.01
 -------- 05:00 0.02 0.02 0.01
 -------- 06:00 0.02 0.02 0.01
 -------- 07:00 0.03 0.03 0.01
 -------- 08:00 0.05 0.07 0.02
 05.11.12 09:00 0.05 0.10 0.02
 -------- 10:00 0.09 0.11 0.07
 -------- 11:00 0.08 0.10 0.07
