 Date Time CO NO2 NO
 22.09.12 12:00 0.04 0.05 0.02
 -------- 13:00 0.04 0.05 0.02
 -------- 14:00 0.04 0.05 0.02
 -------- 15:00 0.04 0.05 0.02
 -------- 16:00 0.04 0.06 0.02
 22.09.12 17:00 0.07 0.09 0.02
 -------- 18:00 0.06 0.11 0.03
 -------- 19:00 0.06 0.07 0.03
 -------- 20:00 0.06 0.09 0.03
 -------- 21:00 0.06 0.08 0.03
 22.09.12 22:00 0.08 0.14 0.04
 -------- 23:00 0.10 0.19 0.07
 -------- 00:00 0.13 0.19 0.10
 -------- 01:00 0.11 0.18 0.10
 -------- 02:00 0.10 0.16 0.09
 23.09.12 03:00 0.09 0.14 0.07
 -------- 04:00 0.08 0.13 0.08
 -------- 05:00 0.08 0.14 0.08
 -------- 06:00 0.07 0.12 0.06
 -------- 07:00 0.07 0.13 0.07
 23.09.12 08:00 0.11 0.15 0.14
 -------- 09:00 0.11 0.19 0.12
 -------- 10:00 0.09 0.18 0.10
 -------- 11:00 0.09 0.19 0.10
 -------- 12:00 0.11 0.20 0.11
 23.09.12 13:00 0.11 0.17 0.11
 -------- 14:00 0.11 0.14 0.09
 -------- 15:00 0.10 0.11 0.08
 -------- 16:00 0.08 0.10 0.07
 -------- 17:00 0.09 0.10 0.09
 23.09.12 18:00 0.11 0.10 0.08
 -------- 19:00 0.08 0.10 0.09
 -------- 20:00 0.09 0.09 0.08
 -------- 21:00 0.06 0.08 0.06
 -------- 22:00 0.05 0.08 0.05
 23.09.12 23:00 0.04 0.07 0.04
 -------- 00:00 0.04 0.05 0.04
 -------- 01:00 0.04 0.06 0.04
 -------- 02:00 0.04 0.05 0.04
 -------- 03:00 0.04 0.04 0.04
 24.09.12 04:00 0.04 0.03 0.04
 -------- 05:00 0.04 0.04 0.04
 -------- 06:00 0.04 0.05 0.04
 -------- 07:00 0.05 0.07 0.04
 -------- 08:00 0.08 0.10 0.07
 24.09.12 09:00 0.07 0.09 0.07
 -------- 10:00 0.06 0.08 0.07
