 Date Time CO NO2 NO
 05.03.13 12:00 0.06 0.12 0.03
 -------- 13:00 0.07 0.13 0.05
 -------- 14:00 0.04 0.08 0.02
 -------- 15:00 0.04 0.08 0.02
 -------- 16:00 0.05 0.09 0.02
 05.03.13 17:00 0.05 0.08 0.01
 -------- 18:00 0.05 0.11 0.02
 -------- 19:00 0.12 0.19 0.08
 -------- 20:00 0.07 0.13 0.01
 -------- 21:00 0.12 0.17 0.03
 05.03.13 22:00 0.22 0.23 0.16
 -------- 23:00 0.23 0.25 0.33
 -------- 00:00 0.19 0.26 0.38
 -------- 01:00 0.19 0.30 0.49
 -------- 02:00 0.17 0.31 0.48
 06.03.13 03:00 0.14 0.28 0.36
 -------- 04:00 0.15 0.27 0.32
 -------- 05:00 0.14 0.27 0.26
 -------- 06:00 0.19 0.29 0.30
 -------- 07:00 0.11 0.26 0.10
 06.03.13 08:00 0.13 0.24 0.09
 -------- 09:00 0.09 0.19 0.06
 -------- 10:00 0.08 0.18 0.06
 -------- 11:00 0.09 0.15 0.05
 -------- 12:00 0.07 0.14 0.05
 06.03.13 13:00 0.07 0.13 0.04
 -------- 14:00 0.06 0.11 0.03
 -------- 15:00 0.06 0.09 0.02
 -------- 16:00 0.06 0.11 0.03
 -------- 17:00 0.07 0.12 0.03
 06.03.13 18:00 0.07 0.12 0.03
 -------- 19:00 0.06 0.11 0.02
 -------- 20:00 0.06 0.10 0.01
 -------- 21:00 0.04 0.08 0.01
 -------- 22:00 0.04 0.07 0.01
 06.03.13 23:00 0.04 0.08 0.01
 -------- 00:00 0.04 0.06 0.00
 -------- 01:00 0.04 0.04 0.00
 -------- 02:00 0.04 0.04 0.00
 -------- 03:00 0.04 0.03 0.00
 07.03.13 04:00 0.04 0.03 ----
 -------- 05:00 0.04 0.03 0.00
 -------- 06:00 0.04 0.04 0.00
 -------- 07:00 0.04 0.03 0.00
 -------- 08:00 0.05 0.05 0.00
 07.03.13 09:00 0.04 0.06 0.01
 -------- 10:00 0.04 0.04 0.01
 -------- 11:00 0.04 0.03 0.01
