 Date Time CO NO2 NO
 08.10.12 00:00 0.19 0.10 0.18
 -------- 01:00 0.14 0.08 0.22
 -------- 02:00 0.10 0.07 0.12
 -------- 03:00 0.06 0.06 0.06
 -------- 04:00 0.07 0.06 0.10
 08.10.12 05:00 0.08 0.05 0.13
 -------- 06:00 0.07 0.05 0.10
 -------- 07:00 0.09 0.07 0.12
 -------- 08:00 0.17 0.07 0.26
 -------- 09:00 0.23 0.16 0.37
 08.10.12 10:00 0.19 0.20 0.29
 -------- 11:00 0.16 0.23 0.23
 -------- 12:00 0.08 0.25 0.10
 -------- 13:00 0.04 0.17 0.06
 -------- 14:00 0.03 0.09 0.03
 08.10.12 15:00 0.03 0.06 0.02
 -------- 16:00 0.04 0.07 0.02
 -------- 17:00 0.04 0.08 0.03
 -------- 18:00 0.05 0.09 0.03
 -------- 19:00 0.05 0.09 0.03
 08.10.12 20:00 0.04 0.08 0.03
 -------- 21:00 0.05 0.07 0.04
 -------- 22:00 0.05 0.08 0.04
 -------- 23:00 0.04 0.09 0.04
 -------- 00:00 0.04 0.07 0.03
 09.10.12 01:00 0.04 0.08 0.03
 -------- 02:00 0.02 0.06 0.03
 -------- 03:00 0.02 0.05 0.03
 -------- 04:00 0.03 0.05 0.03
 -------- 05:00 0.02 0.06 0.03
 09.10.12 06:00 0.03 0.07 0.03
 -------- 07:00 0.05 0.08 0.03
 -------- 08:00 0.05 0.07 0.03
 -------- 09:00 0.04 0.08 0.03
 -------- 10:00 0.04 0.08 0.04
 09.10.12 11:00 0.03 0.07 0.03
 -------- 12:00 0.02 0.07 0.03
 -------- 13:00 0.03 0.05 0.03
 -------- 14:00 0.02 0.06 0.03
 -------- 15:00 0.03 0.06 0.03
 09.10.12 16:00 0.03 0.06 0.03
 -------- 17:00 0.03 0.07 0.04
 -------- 18:00 0.04 0.07 0.03
 -------- 19:00 0.03 0.08 0.03
 -------- 20:00 0.05 0.06 0.03
 09.10.12 21:00 0.04 0.06 0.03
 -------- 22:00 0.03 0.06 0.03
 -------- 23:00 0.02 0.07 0.03
