 Date Time CO NO2 NO
 13.01.13 12:00 ---- 0.06 0.03
 -------- 13:00 ---- 0.05 0.03
 -------- 14:00 ---- 0.05 0.02
 -------- 15:00 ---- 0.05 0.02
 -------- 16:00 0.02 0.06 0.02
 13.01.13 17:00 0.02 0.07 0.03
 -------- 18:00 ---- 0.06 0.03
 -------- 19:00 ---- 0.05 0.02
 -------- 20:00 ---- 0.06 0.02
 -------- 21:00 ---- 0.06 0.02
 13.01.13 22:00 ---- 0.05 0.02
 -------- 23:00 ---- 0.05 0.02
 -------- 00:00 ---- 0.04 0.01
 -------- 01:00 ---- 0.03 0.02
 -------- 02:00 ---- 0.02 0.02
 14.01.13 03:00 ---- 0.02 0.01
 -------- 04:00 ---- 0.02 0.02
 -------- 05:00 ---- 0.02 0.01
 -------- 06:00 ---- 0.03 0.02
 -------- 07:00 ---- 0.04 0.02
 14.01.13 08:00 0.02 0.08 0.04
 -------- 09:00 0.02 0.09 0.04
 -------- 10:00 ---- 0.08 0.04
 -------- 11:00 ---- 0.07 0.04
 -------- 12:00 ---- 0.06 0.02
 14.01.13 13:00 ---- 0.07 0.03
 -------- 14:00 ---- 0.07 0.03
 -------- 15:00 ---- 0.07 0.03
 -------- 16:00 ---- 0.10 0.04
 -------- 17:00 ---- 0.08 0.02
 14.01.13 18:00 ---- 0.07 0.02
 -------- 19:00 ---- 0.06 0.02
 -------- 20:00 ---- 0.06 0.01
 -------- 21:00 ---- 0.06 0.02
 -------- 22:00 ---- 0.05 0.01
 14.01.13 23:00 ---- 0.04 0.01
 -------- 00:00 ---- 0.03 0.01
 -------- 01:00 ---- 0.03 0.01
 -------- 02:00 ---- 0.03 0.01
 -------- 03:00 ---- 0.02 0.01
 15.01.13 04:00 ---- 0.03 0.01
 -------- 05:00 ---- 0.02 0.01
 -------- 06:00 ---- 0.03 0.01
 -------- 07:00 ---- 0.06 0.02
 -------- 08:00 0.02 0.07 0.02
 15.01.13 09:00 0.02 0.06 0.02
 -------- 10:00 0.02 0.06 0.02
 -------- 11:00 ---- 0.06 0.02
