 Date Time CO NO2 NO
 22.11.12 12:00 0.09 0.13 0.08
 -------- 13:00 0.07 0.12 0.04
 -------- 14:00 0.06 0.12 0.03
 -------- 15:00 0.07 0.12 0.02
 -------- 16:00 0.07 0.13 0.03
 22.11.12 17:00 0.10 0.16 0.05
 -------- 18:00 0.09 0.15 0.04
 -------- 19:00 0.09 0.14 0.03
 -------- 20:00 0.09 0.14 0.03
 -------- 21:00 0.08 0.10 0.03
 22.11.12 22:00 0.05 0.07 0.02
 -------- 23:00 0.05 0.07 0.01
 -------- 00:00 0.05 0.06 0.01
 -------- 01:00 0.04 0.04 0.01
 -------- 02:00 0.04 0.04 0.00
 23.11.12 03:00 0.04 0.03 0.00
 -------- 04:00 0.04 0.04 0.01
 -------- 05:00 0.04 0.06 0.01
 -------- 06:00 0.05 0.07 0.01
 -------- 07:00 0.08 0.09 0.03
 23.11.12 08:00 0.10 0.10 0.06
 -------- 09:00 0.08 0.10 0.05
 -------- 10:00 0.07 0.09 0.04
 -------- 11:00 0.07 0.09 0.05
 -------- 12:00 0.06 0.10 0.05
 23.11.12 13:00 0.07 0.11 0.05
 -------- 14:00 0.09 0.11 0.05
 -------- 15:00 0.08 0.12 0.05
 -------- 16:00 0.09 0.16 0.08
 -------- 17:00 0.12 0.18 0.10
 23.11.12 18:00 0.12 0.19 0.10
 -------- 19:00 0.11 0.18 0.08
 -------- 20:00 0.11 0.16 0.06
 -------- 21:00 0.11 0.15 0.05
 -------- 22:00 0.10 0.15 0.05
 23.11.12 23:00 0.07 0.14 0.03
 -------- 00:00 0.07 0.14 0.03
 -------- 01:00 0.07 0.13 0.02
 -------- 02:00 0.06 0.12 0.01
 -------- 03:00 0.05 0.10 0.01
 24.11.12 04:00 0.05 0.08 0.01
 -------- 05:00 0.04 0.07 0.01
 -------- 06:00 0.04 0.07 0.01
 -------- 07:00 0.06 0.08 0.03
 -------- 08:00 0.07 0.10 0.06
 24.11.12 09:00 0.07 0.10 0.04
 -------- 10:00 0.07 0.09 0.05
 -------- 11:00 0.08 0.10 0.07
