 Date Time CO NO2 NO
 28.09.12 12:00 0.06 0.14 0.04
 -------- 13:00 0.07 0.14 0.03
 -------- 14:00 0.07 0.15 0.03
 -------- 15:00 0.06 0.15 0.02
 -------- 16:00 0.08 0.18 0.03
 28.09.12 17:00 0.11 0.24 0.05
 -------- 18:00 0.15 0.24 0.07
 -------- 19:00 0.10 0.21 0.07
 -------- 20:00 0.09 0.19 0.07
 -------- 21:00 0.05 0.10 0.05
 28.09.12 22:00 0.04 0.07 0.03
 -------- 23:00 0.03 0.06 0.03
 -------- 00:00 0.03 0.05 0.03
 -------- 01:00 0.03 0.04 0.03
 -------- 02:00 0.04 0.05 0.03
 29.09.12 03:00 0.04 0.04 0.04
 -------- 04:00 0.03 0.04 0.04
 -------- 05:00 0.02 0.03 0.03
 -------- 06:00 0.03 0.03 0.03
 -------- 07:00 0.04 0.04 0.03
 29.09.12 08:00 0.04 0.07 0.04
 -------- 09:00 0.05 0.09 0.04
 -------- 10:00 0.05 0.08 0.05
 -------- 11:00 0.04 0.06 0.03
 -------- 12:00 0.04 0.06 0.03
 29.09.12 13:00 0.05 0.06 0.03
 -------- 14:00 0.03 0.06 0.03
 -------- 15:00 0.04 0.06 0.02
 -------- 16:00 0.03 0.05 0.02
 -------- 17:00 0.04 0.07 0.02
 29.09.12 18:00 0.05 0.09 0.03
 -------- 19:00 0.05 0.10 0.03
 -------- 20:00 0.07 0.14 0.05
 -------- 21:00 0.10 0.17 0.07
 -------- 22:00 0.10 0.14 0.07
 29.09.12 23:00 0.08 0.12 0.06
 -------- 00:00 0.09 0.11 0.06
 -------- 01:00 0.07 0.10 0.06
 -------- 02:00 0.14 0.12 0.13
 -------- 03:00 0.11 0.11 0.11
 30.09.12 04:00 0.08 0.09 0.06
 -------- 05:00 0.06 0.08 0.05
 -------- 06:00 0.06 0.08 0.06
 -------- 07:00 0.07 0.09 0.07
 -------- 08:00 0.08 0.10 0.10
 30.09.12 09:00 0.06 0.09 0.07
 -------- 10:00 0.06 0.09 0.07
 -------- 11:00 0.07 0.11 0.08
