 Date Time CO NO2 NO
 04.12.12 12:00 0.07 0.07 0.03
 -------- 13:00 0.07 0.10 0.08
 -------- 14:00 0.11 0.12 0.13
 -------- 15:00 0.17 0.13 0.22
 -------- 16:00 0.16 0.12 0.22
 04.12.12 17:00 0.11 0.09 0.15
 -------- 18:00 0.05 0.06 0.04
 -------- 19:00 0.05 0.06 0.04
 -------- 20:00 0.04 0.04 0.02
 -------- 21:00 0.04 0.03 0.02
 04.12.12 22:00 0.04 0.03 0.02
 -------- 23:00 0.04 0.03 0.02
 -------- 00:00 0.04 0.03 0.02
 -------- 01:00 0.02 0.02 0.01
 -------- 02:00 0.02 0.02 0.02
 05.12.12 03:00 0.02 0.02 0.02
 -------- 04:00 0.02 0.02 0.02
 -------- 05:00 0.02 0.02 0.01
 -------- 06:00 0.04 0.02 0.01
 -------- 07:00 0.05 0.05 0.03
 05.12.12 08:00 0.06 0.08 0.03
 -------- 09:00 0.05 0.10 0.04
 -------- 10:00 0.05 0.09 0.04
 -------- 11:00 0.05 0.10 0.04
 -------- 12:00 0.06 0.10 0.05
 05.12.12 13:00 0.05 0.08 0.05
 -------- 14:00 0.05 0.08 0.04
 -------- 15:00 0.06 0.12 0.07
 -------- 16:00 0.08 0.13 0.09
 -------- 17:00 0.10 0.15 0.10
 05.12.12 18:00 0.11 0.17 0.11
 -------- 19:00 0.11 0.17 0.09
 -------- 20:00 0.11 0.17 0.09
 -------- 21:00 0.09 0.16 0.06
 -------- 22:00 0.09 0.15 0.05
 05.12.12 23:00 0.08 0.14 0.04
 -------- 00:00 0.07 0.14 0.04
 -------- 01:00 0.08 0.17 0.04
 -------- 02:00 0.07 0.16 0.04
 -------- 03:00 0.07 0.17 0.07
 06.12.12 04:00 0.06 0.19 0.06
 -------- 05:00 0.07 0.19 0.05
 -------- 06:00 0.11 0.20 0.13
 -------- 07:00 0.09 0.19 0.11
 -------- 08:00 0.15 0.20 0.16
 06.12.12 09:00 0.09 0.16 0.10
 -------- 10:00 0.09 0.14 0.08
 -------- 11:00 0.10 0.14 0.09
