 Date Time CO NO2 NO
 22.01.13 12:00 0.02 0.11 0.07
 -------- 13:00 0.02 0.13 0.08
 -------- 14:00 0.02 0.14 0.08
 -------- 15:00 0.02 0.14 0.08
 -------- 16:00 0.02 0.13 0.07
 22.01.13 17:00 0.02 0.15 0.06
 -------- 18:00 ---- 0.16 0.07
 -------- 19:00 ---- 0.12 0.04
 -------- 20:00 ---- 0.11 0.03
 -------- 21:00 ---- 0.10 0.03
 22.01.13 22:00 ---- 0.09 0.03
 -------- 23:00 ---- 0.10 0.03
 -------- 00:00 ---- 0.08 0.03
 -------- 01:00 ---- 0.07 0.02
 -------- 02:00 ---- 0.07 0.02
 23.01.13 03:00 ---- 0.06 0.02
 -------- 04:00 ---- 0.05 0.02
 -------- 05:00 ---- 0.06 0.02
 -------- 06:00 0.02 0.06 0.02
 -------- 07:00 0.02 0.09 0.03
 23.01.13 08:00 0.03 0.14 0.07
 -------- 09:00 0.04 0.14 0.08
 -------- 10:00 0.05 0.18 0.13
 -------- 11:00 0.06 0.14 0.11
 -------- 12:00 0.04 0.12 0.07
 23.01.13 13:00 0.02 0.07 0.03
 -------- 14:00 ---- 0.09 0.03
 -------- 15:00 ---- 0.09 0.04
 -------- 16:00 ---- 0.12 0.05
 -------- 17:00 ---- 0.14 0.05
 23.01.13 18:00 0.02 0.12 0.03
 -------- 19:00 ---- 0.13 0.03
 -------- 20:00 ---- 0.14 0.04
 -------- 21:00 ---- 0.12 0.03
 -------- 22:00 ---- 0.18 0.06
 23.01.13 23:00 0.02 0.18 0.07
 -------- 00:00 ---- 0.17 0.05
 -------- 01:00 ---- 0.15 0.05
 -------- 02:00 ---- 0.15 0.08
 -------- 03:00 0.02 0.15 0.16
 24.01.13 04:00 0.03 0.18 0.28
 -------- 05:00 0.04 0.22 0.53
 -------- 06:00 0.04 0.23 0.51
 -------- 07:00 0.06 0.21 0.38
 -------- 08:00 0.06 0.16 0.14
 24.01.13 09:00 0.02 0.13 0.07
 -------- 10:00 ---- 0.13 0.06
 -------- 11:00 ---- 0.13 0.06
