 Date Time CO NO2 NO
 08.01.13 12:00 0.02 0.05 0.02
 -------- 13:00 0.02 0.07 0.04
 -------- 14:00 ---- 0.09 0.05
 -------- 15:00 ---- 0.08 0.04
 -------- 16:00 ---- 0.06 0.03
 08.01.13 17:00 ---- 0.08 0.03
 -------- 18:00 ---- 0.11 0.04
 -------- 19:00 ---- 0.08 0.02
 -------- 20:00 ---- 0.06 0.02
 -------- 21:00 ---- 0.07 0.02
 08.01.13 22:00 ---- 0.07 0.02
 -------- 23:00 ---- 0.08 0.02
 -------- 00:00 ---- 0.09 0.02
 -------- 01:00 ---- 0.08 0.02
 -------- 02:00 ---- 0.07 0.02
 09.01.13 03:00 ---- 0.04 0.02
 -------- 04:00 ---- 0.03 0.01
 -------- 05:00 ---- 0.06 0.02
 -------- 06:00 ---- 0.06 0.02
 -------- 07:00 ---- 0.10 0.04
 09.01.13 08:00 0.02 0.10 0.09
 -------- 09:00 0.04 0.10 0.12
 -------- 10:00 0.02 0.10 0.11
 -------- 11:00 0.02 0.10 0.17
 -------- 12:00 0.02 0.11 0.11
 09.01.13 13:00 ---- 0.09 0.06
 -------- 14:00 ---- 0.09 0.05
 -------- 15:00 ---- 0.10 0.05
 -------- 16:00 ---- 0.12 0.07
 -------- 17:00 ---- 0.15 0.12
 09.01.13 18:00 ---- 0.15 0.11
 -------- 19:00 ---- 0.12 0.08
 -------- 20:00 ---- 0.12 0.08
 -------- 21:00 ---- 0.10 0.05
 -------- 22:00 ---- 0.09 0.05
 09.01.13 23:00 ---- 0.07 0.03
 -------- 00:00 ---- 0.07 0.03
 -------- 01:00 ---- 0.06 0.04
 -------- 02:00 ---- 0.05 0.02
 -------- 03:00 ---- 0.03 0.01
 10.01.13 04:00 ---- 0.03 0.02
 -------- 05:00 ---- 0.03 0.02
 -------- 06:00 ---- 0.04 0.02
 -------- 07:00 0.03 0.06 0.04
 -------- 08:00 0.06 0.09 0.06
 10.01.13 09:00 0.07 0.09 0.06
 -------- 10:00 0.06 0.09 0.07
 -------- 11:00 0.04 0.09 0.07
