 Date Time CO NO2 NO
 13.02.13 00:00 ---- 0.05 0.01
 -------- 01:00 ---- 0.05 0.01
 -------- 02:00 ---- 0.05 0.01
 -------- 03:00 ---- 0.05 0.01
 -------- 04:00 ---- 0.06 0.01
 13.02.13 05:00 ---- 0.07 0.01
 -------- 06:00 ---- 0.08 0.01
 -------- 07:00 0.02 0.10 0.01
 -------- 08:00 0.02 0.11 0.02
 -------- 09:00 0.02 0.10 0.02
 13.02.13 10:00 0.02 0.11 0.03
 -------- 11:00 0.02 0.12 0.03
 -------- 12:00 0.02 0.14 0.06
 -------- 13:00 0.02 0.19 0.09
 -------- 14:00 0.02 0.17 0.05
 13.02.13 15:00 0.04 0.13 0.03
 -------- 16:00 0.02 0.08 0.01
 -------- 17:00 ---- 0.07 0.01
 -------- 18:00 ---- 0.10 0.01
 -------- 19:00 ---- 0.12 0.02
 13.02.13 20:00 ---- 0.11 0.01
 -------- 21:00 ---- 0.15 0.02
 -------- 22:00 ---- 0.13 0.02
 -------- 23:00 0.02 0.12 0.01
 -------- 00:00 ---- 0.11 0.01
 14.02.13 01:00 ---- 0.10 0.01
 -------- 02:00 ---- 0.10 0.01
 -------- 03:00 ---- 0.09 0.01
 -------- 04:00 ---- 0.09 0.01
 -------- 05:00 ---- 0.08 0.01
 14.02.13 06:00 ---- 0.08 0.01
 -------- 07:00 0.02 0.09 0.01
 -------- 08:00 0.02 0.09 0.01
 -------- 09:00 0.02 0.09 0.02
 -------- 10:00 0.04 0.10 0.02
 14.02.13 11:00 0.03 0.07 0.02
 -------- 12:00 0.02 0.07 0.02
 -------- 13:00 ---- 0.10 0.02
 -------- 14:00 ---- 0.17 0.02
 -------- 15:00 ---- 0.16 0.02
 14.02.13 16:00 ---- 0.13 0.02
 -------- 17:00 ---- 0.10 0.01
 -------- 18:00 0.02 0.15 0.02
 -------- 19:00 0.02 0.17 0.02
 -------- 20:00 0.02 0.19 0.04
 14.02.13 21:00 0.02 0.21 0.05
 -------- 22:00 0.02 0.19 0.03
 -------- 23:00 0.02 0.18 0.03
