 Date Time CO NO2 NO
 29.03.13 12:00 0.02 0.09 0.02
 -------- 13:00 0.03 0.12 0.02
 -------- 14:00 0.03 0.12 0.02
 -------- 15:00 0.03 0.12 0.02
 -------- 16:00 0.04 0.14 0.02
 29.03.13 17:00 0.05 0.11 0.02
 -------- 18:00 0.04 0.11 0.02
 -------- 19:00 0.06 0.13 0.02
 -------- 20:00 0.13 0.29 0.13
 -------- 21:00 0.27 0.37 0.36
 29.03.13 22:00 0.29 0.38 0.47
 -------- 23:00 0.33 0.40 0.64
 -------- 00:00 0.28 0.38 0.52
 -------- 01:00 0.34 0.35 0.45
 -------- 02:00 0.25 0.38 0.55
 30.03.13 03:00 0.23 0.40 0.64
 -------- 04:00 0.24 0.43 0.70
 -------- 05:00 0.20 0.43 0.72
 -------- 06:00 0.22 0.42 0.60
 -------- 07:00 0.19 0.41 0.54
 30.03.13 08:00 0.23 0.42 0.58
 -------- 09:00 0.29 0.42 0.55
 -------- 10:00 0.15 0.34 0.16
 -------- 11:00 0.07 0.23 0.06
 -------- 12:00 0.06 0.19 0.04
 30.03.13 13:00 0.06 0.17 0.04
 -------- 14:00 0.06 0.14 0.03
 -------- 15:00 0.05 0.13 0.02
 -------- 16:00 0.04 0.12 0.02
 -------- 17:00 0.05 0.13 0.02
 30.03.13 18:00 0.05 0.15 0.02
 -------- 19:00 0.06 0.17 0.02
 -------- 20:00 0.06 0.16 0.02
 -------- 21:00 0.06 0.15 0.02
 -------- 22:00 0.06 0.15 0.02
 30.03.13 23:00 0.06 0.16 0.02
 -------- 00:00 0.06 0.15 0.02
 -------- 01:00 0.05 0.13 0.02
 -------- 02:00 0.04 0.12 0.02
 -------- 03:00 0.04 0.11 0.02
 31.03.13 04:00 0.04 0.11 0.02
 -------- 05:00 0.04 0.11 0.02
 -------- 06:00 0.04 0.13 0.02
 -------- 07:00 0.05 0.12 0.02
 -------- 08:00 0.07 0.14 0.04
 31.03.13 09:00 0.06 0.16 0.04
 -------- 10:00 0.06 0.15 0.04
 -------- 11:00 0.05 0.13 0.03
