 Date Time CO NO2 NO
 19.09.12 12:00 0.08 0.15 0.07
 -------- 13:00 0.07 0.14 0.05
 -------- 14:00 0.05 0.10 0.02
 -------- 15:00 0.05 0.12 0.03
 -------- 16:00 0.05 0.12 0.03
 19.09.12 17:00 0.06 0.12 0.03
 -------- 18:00 0.05 0.14 0.04
 -------- 19:00 0.09 0.20 0.06
 -------- 20:00 0.13 0.26 0.09
 -------- 21:00 0.12 0.24 0.09
 19.09.12 22:00 0.11 0.23 0.09
 -------- 23:00 0.11 0.23 0.08
 -------- 00:00 0.09 0.21 0.07
 -------- 01:00 0.07 0.19 0.06
 -------- 02:00 0.06 0.15 0.06
 20.09.12 03:00 0.05 0.12 0.05
 -------- 04:00 0.04 0.10 0.05
 -------- 05:00 0.04 0.10 0.05
 -------- 06:00 0.07 0.13 0.06
 -------- 07:00 0.11 0.15 0.08
 20.09.12 08:00 0.18 0.18 0.13
 -------- 09:00 0.11 0.18 0.11
 -------- 10:00 0.10 0.18 0.09
 -------- 11:00 0.09 0.18 0.08
 -------- 12:00 0.08 0.15 0.07
 20.09.12 13:00 0.07 0.15 0.06
 -------- 14:00 0.06 0.15 0.04
 -------- 15:00 0.06 0.13 0.03
 -------- 16:00 0.06 0.14 0.04
 -------- 17:00 0.07 0.14 0.04
 20.09.12 18:00 0.07 0.19 0.04
 -------- 19:00 0.15 0.32 0.09
 -------- 20:00 0.19 0.33 0.14
 -------- 21:00 0.22 0.30 0.20
 -------- 22:00 0.22 0.30 0.21
 20.09.12 23:00 0.12 0.28 0.12
 -------- 00:00 0.09 0.22 0.08
 -------- 01:00 0.07 0.17 0.07
 -------- 02:00 0.05 0.12 0.06
 -------- 03:00 0.06 0.09 0.05
 21.09.12 04:00 0.06 0.12 0.06
 -------- 05:00 0.06 0.07 0.05
 -------- 06:00 0.07 0.10 0.05
 -------- 07:00 0.14 0.12 0.13
 -------- 08:00 0.20 0.14 0.14
 21.09.12 09:00 0.12 0.19 0.12
 -------- 10:00 0.10 0.16 0.09
 -------- 11:00 0.08 0.14 0.08
