 Date Time CO NO2 NO
 27.02.13 12:00 0.02 0.07 0.01
 -------- 13:00 0.02 0.08 0.01
 -------- 14:00 0.02 0.09 0.01
 -------- 15:00 ---- 0.11 0.01
 -------- 16:00 ---- 0.07 0.01
 27.02.13 17:00 ---- 0.08 0.01
 -------- 18:00 ---- 0.07 0.01
 -------- 19:00 ---- 0.07 0.01
 -------- 20:00 ---- 0.15 0.01
 -------- 21:00 0.03 0.21 0.18
 27.02.13 22:00 0.06 0.17 0.05
 -------- 23:00 0.05 0.11 0.02
 -------- 00:00 0.03 0.14 0.02
 -------- 01:00 ---- 0.13 0.01
 -------- 02:00 ---- 0.08 0.01
 28.02.13 03:00 ---- 0.07 0.01
 -------- 04:00 ---- 0.09 0.01
 -------- 05:00 ---- 0.06 0.01
 -------- 06:00 ---- 0.06 0.01
 -------- 07:00 ---- 0.07 0.01
 28.02.13 08:00 ---- 0.08 0.01
 -------- 09:00 ---- 0.07 0.01
 -------- 10:00 ---- 0.08 0.01
 -------- 11:00 ---- 0.09 0.01
 -------- 12:00 ---- 0.08 0.01
 28.02.13 13:00 ---- 0.09 0.01
 -------- 14:00 ---- 0.09 0.01
 -------- 15:00 ---- 0.08 0.01
 -------- 16:00 ---- 0.09 0.01
 -------- 17:00 ---- 0.09 0.01
 28.02.13 18:00 ---- 0.08 0.01
 -------- 19:00 ---- 0.08 0.01
 -------- 20:00 ---- 0.07 0.01
 -------- 21:00 ---- 0.07 0.01
 -------- 22:00 ---- 0.06 0.01
 28.02.13 23:00 ---- 0.06 0.01
 -------- 00:00 ---- 0.06 0.01
 -------- 01:00 ---- 0.05 0.01
 -------- 02:00 ---- 0.04 0.01
 -------- 03:00 ---- 0.04 0.01
 01.03.13 04:00 ---- 0.05 0.01
 -------- 05:00 ---- 0.05 0.01
 -------- 06:00 ---- 0.05 0.01
 -------- 07:00 ---- 0.07 0.01
 -------- 08:00 ---- 0.10 0.02
 01.03.13 09:00 ---- 0.10 0.02
 -------- 10:00 ---- 0.10 0.02
 -------- 11:00 ---- 0.11 0.02
