 Date Time CO NO2 NO
 17.12.12 12:00 ---- 0.17 0.12
 -------- 13:00 ---- 0.17 0.08
 -------- 14:00 ---- 0.14 0.04
 -------- 15:00 ---- 0.14 0.03
 -------- 16:00 ---- 0.15 0.03
 17.12.12 17:00 ---- 0.19 0.05
 -------- 18:00 ---- 0.19 0.05
 -------- 19:00 ---- 0.15 0.02
 -------- 20:00 ---- 0.18 0.03
 -------- 21:00 0.02 0.18 0.06
 17.12.12 22:00 0.02 0.17 0.07
 -------- 23:00 0.02 0.17 0.10
 -------- 00:00 0.02 0.18 0.12
 -------- 01:00 0.02 0.17 0.10
 -------- 02:00 ---- 0.16 0.09
 18.12.12 03:00 ---- 0.15 0.08
 -------- 04:00 ---- 0.16 0.10
 -------- 05:00 ---- 0.16 0.08
 -------- 06:00 0.02 0.15 0.08
 -------- 07:00 0.02 0.17 0.11
 18.12.12 08:00 0.03 0.17 0.13
 -------- 09:00 0.04 0.19 0.18
 -------- 10:00 0.07 0.21 0.22
 -------- 11:00 0.06 0.21 0.24
 -------- 12:00 0.06 0.21 0.25
 18.12.12 13:00 0.06 0.21 0.25
 -------- 14:00 0.06 0.20 0.24
 -------- 15:00 0.06 0.21 0.24
 -------- 16:00 0.06 0.20 0.24
 -------- 17:00 ---- 0.18 0.19
 18.12.12 18:00 ---- 0.16 0.12
 -------- 19:00 ---- 0.15 0.11
 -------- 20:00 ---- 0.15 0.10
 -------- 21:00 ---- 0.17 0.12
 -------- 22:00 ---- 0.17 0.13
 18.12.12 23:00 ---- 0.17 0.14
 -------- 00:00 ---- 0.15 0.09
 -------- 01:00 ---- 0.15 0.09
 -------- 02:00 ---- 0.16 0.11
 -------- 03:00 ---- 0.16 0.13
 19.12.12 04:00 ---- 0.15 0.09
 -------- 05:00 0.12 0.14 0.08
 -------- 06:00 0.07 0.14 0.08
 -------- 07:00 0.04 0.16 0.14
 -------- 08:00 0.04 0.18 0.18
 19.12.12 09:00 0.05 0.19 0.22
 -------- 10:00 0.08 0.20 0.27
 -------- 11:00 0.09 0.24 0.36
