 Date Time CO NO2 NO
 08.04.13 12:00 0.06 0.16 0.03
 -------- 13:00 0.04 0.17 0.03
 -------- 14:00 0.05 0.18 0.03
 -------- 15:00 0.05 0.18 0.03
 -------- 16:00 0.05 0.20 0.03
 08.04.13 17:00 0.04 0.14 0.02
 -------- 18:00 0.05 0.13 0.02
 -------- 19:00 0.04 0.12 0.01
 -------- 20:00 0.05 0.14 0.02
 -------- 21:00 0.11 0.28 0.08
 08.04.13 22:00 0.13 0.34 0.11
 -------- 23:00 0.19 0.36 0.23
 -------- 00:00 0.17 0.34 0.19
 -------- 01:00 0.17 0.32 0.21
 -------- 02:00 0.13 0.29 0.19
 09.04.13 03:00 0.17 0.36 0.41
 -------- 04:00 0.14 0.37 0.48
 -------- 05:00 0.07 0.33 0.13
 -------- 06:00 0.22 0.35 0.42
 -------- 07:00 0.11 0.32 0.12
 09.04.13 08:00 0.13 0.28 0.14
 -------- 09:00 0.11 0.17 0.03
 -------- 10:00 0.08 0.25 0.04
 -------- 11:00 0.08 0.28 0.06
 -------- 12:00 0.07 0.24 0.04
 09.04.13 13:00 0.05 0.19 0.03
 -------- 14:00 0.04 0.15 0.02
 -------- 15:00 0.04 0.15 0.02
 -------- 16:00 0.04 0.14 0.02
 -------- 17:00 0.04 0.12 0.02
 09.04.13 18:00 0.04 0.15 0.01
 -------- 19:00 0.07 0.13 0.01
 -------- 20:00 0.05 0.18 0.02
 -------- 21:00 0.11 0.36 0.10
 -------- 22:00 0.14 0.39 0.17
 09.04.13 23:00 0.19 0.39 0.32
 -------- 00:00 0.21 0.39 0.43
 -------- 01:00 0.19 0.38 0.39
 -------- 02:00 0.17 0.38 0.56
 -------- 03:00 0.15 0.34 0.38
 10.04.13 04:00 0.15 0.33 0.36
 -------- 05:00 0.15 0.33 0.39
 -------- 06:00 0.13 0.35 0.25
 -------- 07:00 0.14 0.35 0.14
 -------- 08:00 0.12 0.35 0.15
 10.04.13 09:00 0.15 0.38 0.19
 -------- 10:00 0.13 0.40 0.20
 -------- 11:00 0.07 0.29 0.08
