 Date Time CO NO2 NO
 12.01.13 00:00 ---- 0.12 0.03
 -------- 01:00 ---- 0.10 0.02
 -------- 02:00 ---- 0.08 0.01
 -------- 03:00 ---- 0.07 0.01
 -------- 04:00 ---- 0.06 0.01
 12.01.13 05:00 ---- 0.07 0.01
 -------- 06:00 ---- 0.06 0.01
 -------- 07:00 0.02 0.07 0.01
 -------- 08:00 ---- 0.08 0.02
 -------- 09:00 ---- 0.08 0.01
 12.01.13 10:00 ---- 0.09 0.02
 -------- 11:00 ---- 0.08 0.02
 -------- 12:00 ---- 0.08 0.04
 -------- 13:00 ---- 0.09 0.05
 -------- 14:00 ---- 0.10 0.05
 12.01.13 15:00 ---- 0.09 0.04
 -------- 16:00 ---- 0.09 0.04
 -------- 17:00 ---- 0.10 0.05
 -------- 18:00 0.03 0.13 0.16
 -------- 19:00 0.03 0.12 0.07
 12.01.13 20:00 0.02 0.12 0.07
 -------- 21:00 0.02 0.12 0.07
 -------- 22:00 0.02 0.11 0.08
 -------- 23:00 0.02 0.10 0.07
 -------- 00:00 0.02 0.10 0.07
 13.01.13 01:00 0.02 0.11 0.12
 -------- 02:00 0.02 0.11 0.08
 -------- 03:00 ---- 0.10 0.06
 -------- 04:00 ---- 0.09 0.04
 -------- 05:00 ---- 0.05 0.02
 13.01.13 06:00 ---- 0.05 0.02
 -------- 07:00 ---- 0.04 0.02
 -------- 08:00 ---- 0.06 0.03
 -------- 09:00 0.04 0.06 0.03
 -------- 10:00 0.03 0.05 0.03
 13.01.13 11:00 ---- 0.06 0.03
 -------- 12:00 ---- 0.06 0.03
 -------- 13:00 ---- 0.05 0.03
 -------- 14:00 ---- 0.05 0.02
 -------- 15:00 ---- 0.05 0.02
 13.01.13 16:00 0.02 0.06 0.02
 -------- 17:00 0.02 0.07 0.03
 -------- 18:00 ---- 0.06 0.03
 -------- 19:00 ---- 0.05 0.02
 -------- 20:00 ---- 0.06 0.02
 13.01.13 21:00 ---- 0.06 0.02
 -------- 22:00 ---- 0.05 0.02
 -------- 23:00 ---- 0.05 0.02
