 Date Time CO NO2 NO
 19.10.12 00:00 0.04 0.07 0.04
 -------- 01:00 0.04 0.06 0.04
 -------- 02:00 0.04 0.06 0.04
 -------- 03:00 0.03 0.06 0.04
 -------- 04:00 0.04 0.10 0.05
 19.10.12 05:00 0.04 0.13 0.06
 -------- 06:00 0.04 0.11 0.07
 -------- 07:00 0.09 0.10 0.12
 -------- 08:00 0.09 0.11 0.12
 -------- 09:00 0.07 0.13 0.10
 19.10.12 10:00 0.07 0.11 0.07
 -------- 11:00 0.09 0.12 0.09
 -------- 12:00 0.08 0.12 0.08
 -------- 13:00 0.09 0.11 0.09
 -------- 14:00 0.08 0.12 0.09
 19.10.12 15:00 0.09 0.12 0.09
 -------- 16:00 0.09 0.14 0.09
 -------- 17:00 0.13 0.14 0.10
 -------- 18:00 0.12 0.14 0.11
 -------- 19:00 0.11 0.14 0.10
 19.10.12 20:00 0.09 0.14 0.08
 -------- 21:00 0.07 0.10 0.05
 -------- 22:00 0.06 0.07 0.02
 -------- 23:00 0.06 0.06 0.02
 -------- 00:00 0.05 0.05 0.01
 20.10.12 01:00 0.04 0.04 0.02
 -------- 02:00 0.04 0.04 0.02
 -------- 03:00 0.04 0.04 0.02
 -------- 04:00 0.04 0.04 0.02
 -------- 05:00 0.04 0.04 0.02
 20.10.12 06:00 0.04 0.04 0.02
