 Date Time CO NO2 NO
 30.09.12 12:00 0.09 0.14 0.08
 -------- 13:00 0.08 0.14 0.08
 -------- 14:00 0.06 0.11 0.07
 -------- 15:00 0.06 0.11 0.05
 -------- 16:00 0.05 0.11 0.06
 30.09.12 17:00 0.05 0.10 0.05
 -------- 18:00 0.06 0.13 0.05
 -------- 19:00 0.07 0.15 0.05
 -------- 20:00 0.08 0.15 0.06
 -------- 21:00 0.06 0.10 0.06
 30.09.12 22:00 0.04 0.07 0.04
 -------- 23:00 0.03 0.05 0.03
 -------- 00:00 0.02 0.04 0.02
 -------- 01:00 0.02 0.03 0.02
 -------- 02:00 0.02 0.03 0.02
 01.10.12 03:00 0.02 0.02 0.01
 -------- 04:00 0.02 0.02 0.01
 -------- 05:00 0.02 0.02 0.01
 -------- 06:00 0.02 0.02 0.01
 -------- 07:00 0.03 0.03 0.02
 01.10.12 08:00 0.04 0.05 0.02
 -------- 09:00 0.04 0.06 0.02
 -------- 10:00 0.04 0.05 0.02
 -------- 11:00 0.06 0.06 0.02
 -------- 12:00 0.04 0.05 0.02
 01.10.12 13:00 0.04 0.06 0.02
 -------- 14:00 0.04 0.06 0.03
 -------- 15:00 0.04 0.07 0.03
 -------- 16:00 0.04 0.06 0.03
 -------- 17:00 0.04 0.07 0.03
 01.10.12 18:00 0.04 0.08 0.03
 -------- 19:00 0.05 0.10 0.03
 -------- 20:00 0.07 0.13 0.05
 -------- 21:00 0.06 0.12 0.05
 -------- 22:00 0.05 0.10 0.04
 01.10.12 23:00 0.05 0.11 0.05
 -------- 00:00 0.05 0.10 0.05
 -------- 01:00 0.04 0.12 0.06
 -------- 02:00 0.04 0.10 0.05
 -------- 03:00 0.04 0.09 0.05
 02.10.12 04:00 0.04 0.10 0.05
 -------- 05:00 0.04 0.08 0.05
 -------- 06:00 0.06 0.09 0.09
 -------- 07:00 0.11 0.10 0.15
 -------- 08:00 0.13 0.10 0.16
 02.10.12 09:00 0.13 0.13 0.19
 -------- 10:00 0.11 0.13 0.17
 -------- 11:00 0.07 0.11 0.12
