 Date Time CO NO2 NO PM2.5
 29.03.13 00:00 0.05 0.11 0.02 ----
 -------- 01:00 0.04 0.12 0.02 ----
 -------- 02:00 0.06 0.16 0.03 ----
 -------- 03:00 0.05 0.12 0.02 ----
 -------- 04:00 0.04 0.17 0.04 ----
 29.03.13 05:00 0.05 0.25 0.07 ----
 -------- 06:00 0.10 0.27 0.10 ----
 -------- 07:00 0.14 0.28 0.14 ----
 -------- 08:00 0.22 0.35 0.27 ----
 -------- 09:00 0.16 0.32 0.15 ----
 29.03.13 10:00 0.06 0.16 0.04 ----
 -------- 11:00 0.05 0.13 0.03 ----
 -------- 12:00 0.03 0.09 0.02 ----
 -------- 13:00 0.03 0.12 0.02 ----
 -------- 14:00 0.03 0.12 0.02 ----
 29.03.13 15:00 0.03 0.12 0.02 ----
 -------- 16:00 0.04 0.14 0.02 ----
 -------- 17:00 0.05 0.11 0.02 ----
 -------- 18:00 0.04 0.11 0.02 ----
 -------- 19:00 0.06 0.13 0.02 ----
 29.03.13 20:00 0.13 0.29 0.13 ----
 -------- 21:00 0.27 0.37 0.36 ----
 -------- 22:00 0.29 0.38 0.47 ----
 -------- 23:00 0.33 0.40 0.64 ----
 -------- 00:00 0.28 0.38 0.52 ----
 30.03.13 01:00 0.34 0.35 0.45 ----
 -------- 02:00 0.25 0.38 0.55 ----
 -------- 03:00 0.23 0.40 0.64 ----
 -------- 04:00 0.24 0.43 0.70 ----
 -------- 05:00 0.20 0.43 0.72 ----
 30.03.13 06:00 0.22 0.42 0.60 ----
 -------- 07:00 0.19 0.41 0.54 ----
 -------- 08:00 0.23 0.42 0.58 ----
 -------- 09:00 0.29 0.42 0.55 ----
 -------- 10:00 0.15 0.34 0.16 ----
 30.03.13 11:00 0.07 0.23 0.06 ----
 -------- 12:00 0.06 0.19 0.04 ----
 -------- 13:00 0.06 0.17 0.04 ----
 -------- 14:00 0.06 0.14 0.03 ----
 -------- 15:00 0.05 0.13 0.02 ----
 30.03.13 16:00 0.04 0.12 0.02 ----
 -------- 17:00 0.05 0.13 0.02 ----
 -------- 18:00 0.05 0.15 0.02 ----
 -------- 19:00 0.06 0.17 0.02 ----
 -------- 20:00 0.06 0.16 0.02 ----
 30.03.13 21:00 0.06 0.15 0.02 ----
 -------- 22:00 0.06 0.15 0.02 ----
 -------- 23:00 0.06 0.16 0.02 ----
