 Date Time CO NO2 NO
 01.04.13 12:00 0.06 0.14 0.02
 -------- 13:00 0.06 0.16 0.03
 -------- 14:00 0.07 0.18 0.04
 -------- 15:00 0.07 0.21 0.07
 -------- 16:00 0.07 0.22 0.07
 01.04.13 17:00 0.09 0.22 0.07
 -------- 18:00 0.11 0.23 0.07
 -------- 19:00 0.09 0.23 0.06
 -------- 20:00 0.11 0.25 0.06
 -------- 21:00 0.10 0.26 0.06
 01.04.13 22:00 0.07 0.20 0.04
 -------- 23:00 0.06 0.15 0.04
 -------- 00:00 0.05 0.13 0.03
 -------- 01:00 0.06 0.11 0.02
 -------- 02:00 0.05 0.11 0.03
 02.04.13 03:00 0.04 0.13 0.03
 -------- 04:00 0.04 0.13 0.03
 -------- 05:00 0.04 0.11 0.02
 -------- 06:00 0.06 0.12 0.03
 -------- 07:00 0.09 0.14 0.05
 02.04.13 08:00 0.11 0.18 0.07
 -------- 09:00 0.07 0.15 0.03
 -------- 10:00 0.07 0.17 0.03
 -------- 11:00 0.08 0.15 0.04
 -------- 12:00 0.07 0.13 0.03
 02.04.13 13:00 0.08 0.16 0.03
 -------- 14:00 0.08 0.16 0.03
 -------- 15:00 0.07 0.16 0.03
 -------- 16:00 0.08 0.18 0.03
 -------- 17:00 0.07 0.16 0.03
 02.04.13 18:00 0.06 0.13 0.02
 -------- 19:00 0.07 0.13 0.02
 -------- 20:00 0.07 0.13 0.02
 -------- 21:00 0.06 0.11 0.02
 -------- 22:00 0.07 0.14 0.02
 02.04.13 23:00 0.06 0.14 0.02
 -------- 00:00 0.06 0.12 0.02
 -------- 01:00 0.06 0.11 0.02
 -------- 02:00 0.06 0.09 0.02
 -------- 03:00 0.06 0.09 0.02
 03.04.13 04:00 0.06 0.08 0.01
 -------- 05:00 0.06 0.08 0.02
 -------- 06:00 0.07 0.13 0.02
 -------- 07:00 0.10 0.23 0.06
 -------- 08:00 0.18 0.25 0.07
 03.04.13 09:00 0.14 0.22 0.06
 -------- 10:00 0.09 0.16 0.03
 -------- 11:00 0.07 0.14 0.03
