 Date Time CO NO2 NO PM2.5
 01.05.13 00:00 0.04 0.09 0.01 ----
 -------- 01:00 0.04 0.07 0.01 ----
 -------- 02:00 0.04 0.07 0.01 ----
 -------- 03:00 0.04 0.07 0.01 ----
 -------- 04:00 0.04 0.06 0.01 ----
 01.05.13 05:00 0.04 0.06 0.01 ----
 -------- 06:00 0.04 0.07 0.01 ----
 -------- 07:00 0.04 0.08 0.01 ----
 -------- 08:00 0.04 0.07 0.01 ----
 -------- 09:00 0.04 0.06 0.01 ----
 01.05.13 10:00 0.04 0.06 0.01 ----
 -------- 11:00 0.04 0.07 0.01 ----
 -------- 12:00 0.04 0.09 0.02 ----
 -------- 13:00 0.04 0.11 0.02 ----
 -------- 14:00 0.04 0.11 0.01 ----
 01.05.13 15:00 0.04 0.11 0.01 ----
 -------- 16:00 0.04 0.10 0.01 ----
 -------- 17:00 0.04 0.09 0.01 ----
 -------- 18:00 0.04 0.08 0.01 ----
 -------- 19:00 0.04 0.06 0.01 ----
 01.05.13 20:00 0.05 0.06 0.01 ----
 -------- 21:00 0.07 0.11 0.01 ----
 -------- 22:00 0.09 0.23 0.03 ----
 -------- 23:00 0.16 0.25 0.11 ----
 -------- 00:00 0.15 0.24 0.09 ----
 02.05.13 01:00 0.16 0.21 0.10 ----
 -------- 02:00 0.15 0.23 0.10 ----
 -------- 03:00 0.11 0.20 0.05 ----
 -------- 04:00 0.09 0.19 0.03 ----
 -------- 05:00 0.09 0.19 0.04 ----
 02.05.13 06:00 0.11 0.18 0.08 ----
 -------- 07:00 0.21 0.18 0.19 ----
 -------- 08:00 0.09 0.19 0.06 ----
 -------- 09:00 0.07 0.15 0.03 ----
 -------- 10:00 0.04 0.12 0.02 ----
 02.05.13 11:00 0.03 0.09 0.01 ----
 -------- 12:00 0.04 0.09 0.01 ----
 -------- 13:00 0.04 0.09 0.01 ----
 -------- 14:00 0.04 0.09 0.01 ----
 -------- 15:00 0.04 0.10 0.01 ----
 02.05.13 16:00 0.04 0.09 0.01 ----
 -------- 17:00 0.04 0.09 0.01 ----
 -------- 18:00 0.04 0.09 0.01 ----
 -------- 19:00 0.04 0.09 0.01 ----
 -------- 20:00 0.05 0.09 0.01 ----
 02.05.13 21:00 0.07 0.12 0.02 ----
 -------- 22:00 0.09 0.16 0.02 ----
 -------- 23:00 0.12 0.25 0.03 ----
