 Date Time CO NO2 CHX NO
 27.12.12 00:00 ---- 0.14 1.56 0.00
 -------- 01:00 ---- 0.14 1.60 0.00
 -------- 02:00 ---- 0.12 1.55 0.00
 -------- 03:00 ---- 0.13 1.54 0.00
 -------- 04:00 ---- 0.23 1.74 0.01
 27.12.12 05:00 ---- 0.19 1.66 0.01
 -------- 06:00 ---- 0.18 1.58 0.01
 -------- 07:00 ---- 0.15 1.55 0.00
 -------- 08:00 ---- 0.18 1.57 0.01
 -------- 09:00 ---- 0.21 1.59 0.01
 27.12.12 10:00 ---- 0.23 1.58 0.02
 -------- 11:00 ---- 0.24 1.60 0.02
 -------- 12:00 ---- 0.24 1.60 0.03
 -------- 13:00 ---- 0.24 1.59 0.03
 -------- 14:00 ---- 0.26 1.61 0.04
 27.12.12 15:00 0.02 0.28 1.61 0.06
 -------- 16:00 0.03 0.30 1.64 0.08
 -------- 17:00 0.04 0.31 1.67 0.11
 -------- 18:00 0.06 0.32 1.79 0.15
 -------- 19:00 ---- 0.31 2.04 0.14
 27.12.12 20:00 ---- 0.28 1.72 0.12
 -------- 21:00 ---- 0.24 1.67 0.06
 -------- 22:00 ---- 0.19 1.61 0.02
 -------- 23:00 ---- 0.17 1.56 0.01
 -------- 00:00 ---- 0.24 1.60 0.03
 28.12.12 01:00 ---- 0.21 1.60 0.01
 -------- 02:00 ---- 0.13 1.54 0.00
 -------- 03:00 ---- 0.10 1.54 0.00
 -------- 04:00 ---- 0.09 1.53 0.00
 -------- 05:00 ---- 0.10 1.61 0.00
 28.12.12 06:00 ---- 0.13 1.67 0.00
 -------- 07:00 ---- 0.16 1.56 0.01
 -------- 08:00 ---- 0.17 1.57 0.01
 -------- 09:00 ---- 0.17 1.56 0.01
 -------- 10:00 ---- 0.18 1.55 0.01
 28.12.12 11:00 ---- 0.18 1.57 0.01
 -------- 12:00 ---- 0.19 1.66 0.02
 -------- 13:00 ---- 0.20 1.79 0.02
 -------- 14:00 ---- 0.21 1.83 0.02
 -------- 15:00 ---- 0.19 1.71 0.01
 28.12.12 16:00 ---- 0.19 1.65 0.01
 -------- 17:00 ---- 0.22 1.72 0.01
 -------- 18:00 ---- 0.20 1.73 0.01
 -------- 19:00 ---- 0.17 1.63 0.01
 -------- 20:00 ---- 0.19 1.83 0.01
 28.12.12 21:00 ---- 0.14 1.63 0.00
 -------- 22:00 ---- 0.09 1.50 0.00
 -------- 23:00 ---- 0.09 1.50 0.00
 -------- 00:00 ---- 0.09 1.49 0.00
