 Date Time CO NO2 CHX NO
 30.09.12 12:00 0.02 0.12 1.54 0.01
 -------- 13:00 0.02 0.12 1.50 0.01
 -------- 14:00 ---- 0.09 1.48 0.01
 -------- 15:00 ---- 0.08 1.46 0.00
 -------- 16:00 ---- 0.08 1.46 0.00
 30.09.12 17:00 0.03 0.17 1.48 0.01
 -------- 18:00 0.04 0.19 1.49 0.01
 -------- 19:00 0.05 0.19 1.50 0.01
 -------- 20:00 0.06 0.19 1.50 0.01
 -------- 21:00 0.05 0.14 1.54 0.00
 30.09.12 22:00 0.03 0.10 1.48 ----
 -------- 23:00 0.02 0.09 1.48 ----
 -------- 00:00 0.02 0.09 1.48 ----
 -------- 01:00 0.02 0.06 1.45 ----
 -------- 02:00 0.02 0.05 1.45 ----
 01.10.12 03:00 0.02 0.04 1.45 ----
 -------- 04:00 0.02 0.04 1.44 ----
 -------- 05:00 0.02 0.04 1.45 ----
 -------- 06:00 0.02 0.06 1.44 ----
 -------- 07:00 0.02 0.09 1.44 0.00
 01.10.12 08:00 0.03 0.10 1.45 0.00
 -------- 09:00 0.02 0.09 1.45 0.01
 -------- 10:00 0.02 0.10 1.46 0.01
 -------- 11:00 0.02 0.07 1.45 0.01
 -------- 12:00 0.02 0.07 1.45 0.01
 01.10.12 13:00 0.02 0.08 1.45 0.01
 -------- 14:00 0.02 0.07 1.45 0.01
 -------- 15:00 0.02 0.09 1.46 0.01
 -------- 16:00 0.02 0.09 1.46 0.01
 -------- 17:00 0.03 0.12 1.46 0.01
 01.10.12 18:00 0.03 0.10 1.46 0.00
 -------- 19:00 0.04 0.17 1.48 0.01
 -------- 20:00 0.06 0.25 1.51 0.01
 -------- 21:00 0.08 0.31 1.52 0.03
 -------- 22:00 0.07 0.29 1.54 0.03
 01.10.12 23:00 0.18 0.31 1.69 0.09
 -------- 00:00 0.12 0.29 1.63 0.12
 -------- 01:00 0.13 0.27 1.65 0.15
 -------- 02:00 0.15 0.25 1.73 0.20
 -------- 03:00 0.19 0.24 1.90 0.26
 02.10.12 04:00 0.07 0.23 1.89 0.15
 -------- 05:00 0.05 0.22 1.91 0.10
 -------- 06:00 0.06 0.23 2.30 0.13
 -------- 07:00 0.12 0.24 2.26 0.24
 -------- 08:00 0.17 0.26 2.17 0.23
 02.10.12 09:00 0.18 0.27 2.19 0.27
