 Date Time CO NO2 CHX NO
 18.03.13 00:00 0.06 0.21 1.58 0.00
 -------- 01:00 0.06 0.24 1.58 0.00
 -------- 02:00 0.07 0.29 1.59 0.00
 -------- 03:00 0.08 0.37 1.63 0.00
 -------- 04:00 0.08 0.36 1.64 0.00
 18.03.13 05:00 0.08 0.42 1.67 0.02
 -------- 06:00 0.10 0.42 1.68 0.03
 -------- 07:00 0.10 0.42 1.66 0.03
 -------- 08:00 0.11 0.41 1.66 0.06
 -------- 09:00 0.13 0.41 1.73 0.12
 18.03.13 10:00 0.13 0.37 1.74 0.11
 -------- 11:00 0.09 0.29 1.66 0.07
 -------- 12:00 0.10 0.34 1.70 0.08
 -------- 13:00 0.10 0.30 1.68 0.08
 -------- 14:00 0.08 0.26 1.64 0.05
 18.03.13 15:00 0.08 0.22 1.62 0.03
 -------- 16:00 0.07 0.26 1.62 0.04
 -------- 17:00 0.08 0.31 1.64 0.03
 -------- 18:00 0.08 0.23 1.62 0.02
 -------- 19:00 0.09 0.22 1.63 0.02
 18.03.13 20:00 0.08 0.23 1.62 0.01
 -------- 21:00 0.08 0.19 1.60 0.01
 -------- 22:00 0.08 0.22 1.60 0.01
 -------- 23:00 0.07 0.20 1.58 0.00
 -------- 00:00 0.06 0.20 1.58 0.00
 19.03.13 01:00 0.06 0.18 1.58 0.00
 -------- 02:00 0.06 0.17 1.57 ----
 -------- 03:00 0.06 0.16 1.59 ----
 -------- 04:00 0.06 0.23 1.59 ----
 -------- 05:00 0.06 0.24 1.58 0.00
 19.03.13 06:00 0.06 0.24 1.57 0.01
 -------- 07:00 0.06 0.23 1.57 0.00
 -------- 08:00 0.16 0.27 1.61 0.02
 -------- 09:00 0.08 0.29 1.59 0.03
 -------- 10:00 0.08 0.24 1.59 0.03
 19.03.13 11:00 0.08 0.23 1.58 0.03
 -------- 12:00 0.07 0.20 1.58 0.03
 -------- 13:00 0.06 0.17 1.57 0.03
 -------- 14:00 0.06 0.18 1.58 0.02
 -------- 15:00 0.07 0.19 1.59 0.02
 19.03.13 16:00 0.07 0.21 1.60 0.02
 -------- 17:00 0.07 0.20 1.59 0.02
 -------- 18:00 0.09 0.25 1.62 0.02
 -------- 19:00 0.08 0.26 1.62 0.01
 -------- 20:00 0.08 0.30 1.63 0.01
 19.03.13 21:00 0.09 0.34 1.65 0.01
 -------- 22:00 0.08 0.32 1.66 0.01
 -------- 23:00 0.09 0.38 1.64 0.01
