 Date Time CO NO2 CHX NO
 07.12.12 12:00 0.06 0.22 1.58 0.03
 -------- 13:00 0.06 0.19 1.57 0.03
 -------- 14:00 0.06 0.22 1.57 0.04
 -------- 15:00 0.07 0.24 1.59 0.05
 -------- 16:00 0.08 0.24 1.60 0.04
 07.12.12 17:00 0.09 0.25 1.62 0.05
 -------- 18:00 0.08 0.26 1.63 0.05
 -------- 19:00 0.09 0.27 1.64 0.06
 -------- 20:00 0.10 0.25 1.65 0.07
 -------- 21:00 0.09 0.23 1.65 0.06
 07.12.12 22:00 0.08 0.21 1.65 0.05
 -------- 23:00 0.08 0.20 1.65 0.05
 -------- 00:00 0.09 0.20 1.72 0.09
 -------- 01:00 0.09 0.20 1.75 0.10
 -------- 02:00 0.08 0.20 1.80 0.08
 08.12.12 03:00 0.06 0.20 1.82 0.04
 -------- 04:00 0.07 0.22 1.90 0.06
 -------- 05:00 0.06 0.21 1.85 0.06
 -------- 06:00 0.07 0.21 1.80 0.06
 -------- 07:00 0.09 0.22 1.80 0.11
 08.12.12 08:00 0.08 0.21 1.74 0.10
 -------- 09:00 0.09 0.21 1.71 0.11
 -------- 10:00 0.13 0.23 1.85 0.17
 -------- 11:00 0.11 0.21 1.77 0.14
 -------- 12:00 0.12 0.20 1.73 0.13
 08.12.12 13:00 0.12 0.20 1.75 0.14
 -------- 14:00 0.11 0.20 1.71 0.13
 -------- 15:00 0.09 0.19 1.71 0.11
 -------- 16:00 0.08 0.19 1.75 0.12
 -------- 17:00 0.09 0.19 1.77 0.11
 08.12.12 18:00 0.09 0.19 1.74 0.10
 -------- 19:00 0.08 0.19 1.74 0.09
 -------- 20:00 0.07 0.18 1.71 0.06
 -------- 21:00 0.08 0.18 1.75 0.08
 -------- 22:00 0.08 0.18 1.76 0.11
 08.12.12 23:00 0.08 0.19 1.76 0.11
 -------- 00:00 0.09 0.18 1.78 0.10
 -------- 01:00 0.10 0.18 1.78 0.10
 -------- 02:00 0.12 0.19 1.80 0.15
 -------- 03:00 0.12 0.20 1.91 0.18
 09.12.12 04:00 0.12 0.20 2.23 0.17
 -------- 05:00 0.13 0.20 2.01 0.19
 -------- 06:00 0.12 0.21 1.97 0.19
 -------- 07:00 0.13 0.20 1.93 0.20
 -------- 08:00 0.11 0.19 1.85 0.15
 09.12.12 09:00 0.09 0.16 1.72 0.08
 -------- 10:00 0.07 0.17 1.64 0.03
 -------- 11:00 0.05 0.18 1.60 0.03
