 Date Time CO NO2 CHX NO
 23.10.12 12:00 0.05 0.24 1.56 0.04
 -------- 13:00 0.04 0.21 1.53 0.03
 -------- 14:00 0.04 0.22 1.53 0.03
 -------- 15:00 0.05 0.23 1.55 0.03
 -------- 16:00 0.04 0.24 1.57 0.03
 23.10.12 17:00 0.04 0.20 1.52 0.02
 -------- 18:00 0.05 0.20 1.52 0.01
 -------- 19:00 0.05 0.22 1.53 0.01
 -------- 20:00 0.04 0.23 1.57 0.01
 -------- 21:00 0.04 0.19 1.53 0.00
 23.10.12 22:00 0.04 0.19 1.51 0.01
 -------- 23:00 0.04 0.21 1.53 0.01
 -------- 00:00 0.04 0.25 1.52 0.01
 -------- 01:00 0.05 0.23 1.54 0.01
 -------- 02:00 0.04 0.24 1.54 0.01
 24.10.12 03:00 0.03 0.25 1.55 0.02
 -------- 04:00 0.02 0.25 1.59 0.04
 -------- 05:00 0.02 0.24 1.68 0.03
 -------- 06:00 0.02 0.24 2.18 0.04
 -------- 07:00 0.04 0.25 1.67 0.05
 24.10.12 08:00 0.07 0.29 1.64 0.06
 -------- 09:00 0.09 0.29 1.75 0.13
 -------- 10:00 0.08 0.28 1.73 0.12
 -------- 11:00 0.06 0.27 1.64 0.08
 -------- 12:00 0.03 0.23 1.58 0.03
 24.10.12 13:00 0.03 0.17 1.57 0.02
 -------- 14:00 0.05 0.16 1.56 0.02
 -------- 15:00 0.05 0.15 1.55 0.01
 -------- 16:00 0.04 0.14 1.54 0.01
 -------- 17:00 0.04 0.15 1.55 0.01
 24.10.12 18:00 0.04 0.15 1.55 0.00
 -------- 19:00 0.05 0.20 1.55 0.01
 -------- 20:00 0.07 0.28 1.57 0.03
 -------- 21:00 0.08 0.28 1.58 0.04
 -------- 22:00 0.06 0.24 1.77 0.02
 24.10.12 23:00 0.05 0.21 1.91 0.01
 -------- 00:00 0.04 0.18 1.74 0.01
 -------- 01:00 0.02 0.15 1.64 0.00
 -------- 02:00 0.02 0.13 1.66 0.00
 -------- 03:00 0.02 0.12 1.82 ----
 25.10.12 04:00 0.02 0.11 2.01 ----
 -------- 05:00 0.02 0.13 1.77 0.00
 -------- 06:00 0.03 0.14 1.74 0.00
 -------- 07:00 0.04 0.18 1.92 0.01
 -------- 08:00 0.05 0.19 1.92 0.01
 25.10.12 09:00 0.04 0.17 1.69 0.01
 -------- 10:00 0.05 0.15 1.53 0.01
 -------- 11:00 0.04 0.13 1.52 0.01
