 Date Time CO NO2 CHX NO
 10.11.12 00:00 0.02 0.12 1.50 0.00
 -------- 01:00 0.02 0.09 1.49 0.00
 -------- 02:00 0.02 0.10 1.50 0.00
 -------- 03:00 0.02 0.15 1.51 0.00
 -------- 04:00 0.02 0.15 1.51 ----
 10.11.12 05:00 0.02 0.14 1.52 ----
 -------- 06:00 0.04 0.14 1.52 0.00
 -------- 07:00 0.04 0.16 1.53 0.01
 -------- 08:00 0.04 0.15 1.54 0.01
 -------- 09:00 0.04 0.18 1.55 0.01
 10.11.12 10:00 0.04 0.20 1.56 0.02
 -------- 11:00 0.05 0.23 1.57 0.03
 -------- 12:00 0.05 0.20 1.56 0.03
 -------- 13:00 0.05 0.21 1.58 0.03
 -------- 14:00 0.05 0.21 1.58 0.03
 10.11.12 15:00 0.05 0.20 1.57 0.02
 -------- 16:00 0.06 0.21 1.57 0.02
 -------- 17:00 0.06 0.23 1.57 0.01
 -------- 18:00 0.05 0.24 1.56 0.01
 -------- 19:00 0.06 0.28 1.58 0.02
 10.11.12 20:00 0.10 0.36 1.64 0.09
 -------- 21:00 0.16 0.38 1.71 0.19
 -------- 22:00 0.17 0.38 1.72 0.22
 -------- 23:00 0.24 0.38 1.87 0.32
 -------- 00:00 0.29 0.39 1.90 0.42
 11.11.12 01:00 0.40 0.43 2.04 0.66
 -------- 02:00 0.35 0.43 2.17 0.62
 -------- 03:00 0.16 0.38 3.92 0.23
 -------- 04:00 0.16 0.35 2.90 0.21
 -------- 05:00 0.09 0.34 1.92 0.11
 11.11.12 06:00 0.05 0.31 1.68 0.04
 -------- 07:00 0.03 0.30 1.67 0.03
 -------- 08:00 0.05 0.30 1.69 0.05
 -------- 09:00 0.05 0.29 1.64 0.06
 -------- 10:00 0.04 0.25 1.66 0.04
 11.11.12 11:00 0.04 0.22 1.65 0.04
 -------- 12:00 0.02 0.19 1.66 0.03
 -------- 13:00 0.02 0.16 1.61 0.02
 -------- 14:00 ---- 0.15 1.60 0.02
 -------- 15:00 0.02 0.19 1.60 0.03
 11.11.12 16:00 0.02 0.19 1.58 0.02
 -------- 17:00 0.02 0.20 1.57 0.01
 -------- 18:00 0.02 0.21 1.57 0.01
 -------- 19:00 0.02 0.25 1.60 0.03
 -------- 20:00 0.02 0.24 1.58 0.02
 11.11.12 21:00 ---- 0.20 1.57 0.01
 -------- 22:00 ---- 0.17 1.57 0.00
 -------- 23:00 ---- 0.15 1.57 0.00
