 Date Time CO OZ NO2 NO
 25.02.13 00:00 0.09 0.17 0.27 0.03
 -------- 01:00 0.10 0.12 0.29 0.06
 -------- 02:00 0.10 0.16 0.26 0.05
 -------- 03:00 0.08 0.15 0.26 0.04
 -------- 04:00 0.07 0.16 0.25 0.04
 25.02.13 05:00 0.08 0.17 0.25 0.03
 -------- 06:00 0.11 0.11 0.32 0.06
 -------- 07:00 0.12 0.05 0.38 0.09
 -------- 08:00 0.15 0.04 0.39 0.09
 -------- 09:00 0.19 0.03 0.42 0.18
 25.02.13 10:00 0.30 0.02 0.44 0.34
 -------- 11:00 0.19 0.07 0.40 0.17
 -------- 12:00 0.10 0.11 0.33 0.12
 -------- 13:00 0.07 0.18 0.28 0.09
 -------- 14:00 0.07 0.19 0.30 0.10
 25.02.13 15:00 0.05 0.27 0.24 0.06
 -------- 16:00 0.07 0.27 0.25 0.08
 -------- 17:00 0.07 0.25 0.26 0.07
 -------- 18:00 0.09 0.26 0.27 0.07
 -------- 19:00 0.09 0.24 0.29 0.05
 25.02.13 20:00 0.12 0.14 0.35 0.07
 -------- 21:00 0.07 0.27 0.23 0.04
 -------- 22:00 0.07 0.25 0.25 0.05
 -------- 23:00 0.09 0.17 0.32 0.05
 -------- 00:00 0.07 0.16 0.32 0.04
 26.02.13 01:00 0.09 0.12 0.33 0.06
 -------- 02:00 0.08 0.17 0.29 0.04
 -------- 03:00 0.09 0.11 0.33 0.06
 -------- 04:00 0.08 0.11 0.33 0.05
 -------- 05:00 0.06 0.15 0.30 0.03
 26.02.13 06:00 0.11 0.08 0.39 0.13
 -------- 07:00 0.26 0.01 0.48 0.33
 -------- 08:00 0.23 0.01 0.48 0.27
 -------- 09:00 0.25 0.01 0.49 0.31
 -------- 10:00 0.26 0.02 0.48 0.34
 26.02.13 11:00 0.16 0.07 0.42 0.18
 -------- 12:00 0.10 0.10 0.39 0.15
 -------- 13:00 0.09 0.14 0.36 0.12
 -------- 14:00 0.11 0.14 0.40 0.14
 -------- 15:00 0.09 0.15 0.38 0.12
 26.02.13 16:00 0.05 0.20 0.32 0.08
 -------- 17:00 0.06 0.23 0.33 0.08
 -------- 18:00 0.07 0.23 0.33 0.10
 -------- 19:00 0.09 0.14 0.39 0.09
 -------- 20:00 0.06 0.23 0.29 0.06
 26.02.13 21:00 0.06 0.22 0.29 0.06
 -------- 22:00 0.05 0.20 0.31 0.04
 -------- 23:00 0.05 0.22 0.27 0.05
 -------- 00:00 0.04 0.32 0.19 0.03
