 Date Time CO OZ NO2 NO
 31.12.12 12:00 0.11 0.03 0.22 0.08
 -------- 13:00 0.11 0.03 0.21 0.07
 -------- 14:00 0.11 0.03 0.20 0.08
 -------- 15:00 0.13 0.02 0.23 0.10
 -------- 16:00 0.13 0.01 0.24 0.11
 31.12.12 17:00 0.15 0.01 0.24 0.14
 -------- 18:00 0.17 0.01 0.26 0.11
 -------- 19:00 0.15 0.01 0.25 0.09
 -------- 20:00 0.12 0.01 0.24 0.08
 -------- 21:00 0.13 0.01 0.23 0.08
 31.12.12 22:00 0.13 0.01 0.24 0.09
 -------- 23:00 0.13 0.01 0.23 0.10
 -------- 00:00 0.10 0.01 0.23 0.08
 -------- 01:00 0.11 0.01 0.22 0.08
 -------- 02:00 0.11 0.01 0.20 0.07
 01.01.13 03:00 0.10 0.03 0.20 0.05
 -------- 04:00 0.10 0.02 0.21 0.06
 -------- 05:00 0.10 0.04 0.19 0.05
 -------- 06:00 0.10 0.02 0.20 0.05
 -------- 07:00 0.07 0.07 0.16 0.03
 01.01.13 08:00 0.07 0.08 0.18 0.03
 -------- 09:00 0.13 0.03 0.21 0.05
 -------- 10:00 0.10 0.03 0.20 0.04
 -------- 11:00 0.07 0.04 0.19 0.05
 -------- 12:00 0.08 0.06 0.19 0.04
 01.01.13 13:00 0.08 0.07 0.21 0.04
 -------- 14:00 0.09 0.05 0.22 0.06
 -------- 15:00 0.06 0.07 0.19 0.03
 -------- 16:00 0.08 0.08 0.19 0.03
 -------- 17:00 0.09 0.04 0.23 0.05
 01.01.13 18:00 0.12 0.03 0.23 0.04
 -------- 19:00 0.10 0.03 0.22 0.03
 -------- 20:00 0.09 0.01 0.24 0.04
 -------- 21:00 0.09 0.01 0.23 0.03
 -------- 22:00 0.09 0.01 0.24 0.04
 01.01.13 23:00 0.09 0.02 0.23 0.03
 -------- 00:00 0.09 0.03 0.21 0.03
 -------- 01:00 0.08 0.02 0.23 0.03
 -------- 02:00 0.10 0.01 0.23 0.05
 -------- 03:00 0.08 0.01 0.21 0.04
 02.01.13 04:00 0.08 0.03 0.18 0.02
 -------- 05:00 0.07 0.11 0.11 0.02
 -------- 06:00 0.06 0.11 0.12 0.02
 -------- 07:00 0.08 0.10 0.15 0.03
 -------- 08:00 0.07 0.10 0.15 0.03
 02.01.13 09:00 0.08 0.11 0.15 0.03
 -------- 10:00 0.07 0.11 0.16 0.03
 -------- 11:00 0.09 0.13 0.16 0.03
