 Date Time CO OZ NO2 NO
 27.01.13 12:00 0.08 0.09 0.26 0.11
 -------- 13:00 0.13 0.11 0.26 0.12
 -------- 14:00 0.12 0.17 0.21 0.09
 -------- 15:00 0.11 0.17 0.20 0.08
 -------- 16:00 0.13 0.11 0.27 0.11
 27.01.13 17:00 0.21 0.04 0.33 0.17
 -------- 18:00 1.47 0.01 0.38 0.16
 -------- 19:00 0.32 0.01 0.39 0.23
 -------- 20:00 0.25 0.01 0.38 0.20
 -------- 21:00 0.33 0.01 0.42 0.35
 27.01.13 22:00 0.23 0.01 0.42 0.35
 -------- 23:00 0.24 0.01 0.41 0.31
 -------- 00:00 0.17 0.01 0.40 0.26
 -------- 01:00 0.13 0.01 0.38 0.20
 -------- 02:00 0.10 0.01 0.36 0.15
 28.01.13 03:00 0.07 0.01 0.35 0.12
 -------- 04:00 0.04 0.01 0.33 0.07
 -------- 05:00 0.02 0.01 0.33 0.07
 -------- 06:00 0.08 0.01 0.34 0.09
 -------- 07:00 0.06 0.01 0.33 0.11
 28.01.13 08:00 0.11 0.01 0.35 0.17
 -------- 09:00 0.17 0.01 0.38 0.19
 -------- 10:00 0.16 0.01 0.37 0.18
 -------- 11:00 0.14 0.01 0.37 0.22
 -------- 12:00 0.15 0.02 0.37 0.20
 28.01.13 13:00 0.16 0.02 0.36 0.20
 -------- 14:00 0.15 0.03 0.36 0.17
 -------- 15:00 0.14 0.03 0.35 0.16
 -------- 16:00 0.15 0.02 0.37 0.20
 -------- 17:00 0.17 0.01 0.38 0.19
 28.01.13 18:00 0.13 0.01 0.37 0.17
 -------- 19:00 0.17 0.01 0.37 0.17
 -------- 20:00 0.17 0.01 0.36 0.14
 -------- 21:00 0.14 0.01 0.34 0.10
 -------- 22:00 0.14 0.01 0.36 0.12
 28.01.13 23:00 0.15 0.01 0.34 0.12
 -------- 00:00 0.11 0.01 0.34 0.10
 -------- 01:00 0.10 0.01 0.34 0.09
 -------- 02:00 0.07 0.01 0.33 0.06
 -------- 03:00 0.06 0.01 0.32 0.03
 29.01.13 04:00 0.09 0.01 0.34 0.07
 -------- 05:00 0.09 0.01 0.32 0.04
 -------- 06:00 0.11 0.01 0.34 0.11
 -------- 07:00 0.13 0.01 0.34 0.11
 -------- 08:00 0.17 0.01 0.35 0.20
 29.01.13 09:00 0.17 0.01 0.36 0.22
 -------- 10:00 0.19 0.01 0.35 0.23
 -------- 11:00 0.24 0.01 0.36 0.28
 -------- 12:00 0.24 0.01 0.41 0.32
