 Date Time CO OZ NO2 NO
 11.10.12 12:00 0.14 0.02 0.24 0.15
 -------- 13:00 0.16 0.04 0.21 0.18
 -------- 14:00 0.12 0.05 0.19 0.15
 -------- 15:00 0.12 0.05 0.20 0.11
 -------- 16:00 0.13 0.05 0.19 0.11
 11.10.12 17:00 0.15 0.03 0.23 0.15
 -------- 18:00 0.10 0.05 0.21 0.09
 -------- 19:00 0.13 0.02 0.24 0.12
 -------- 20:00 0.15 0.01 0.25 0.16
 -------- 21:00 0.15 0.01 0.23 0.11
 11.10.12 22:00 0.19 0.01 0.28 0.19
 -------- 23:00 0.15 0.01 0.26 0.17
 -------- 00:00 0.15 0.01 0.23 0.15
 -------- 01:00 0.11 0.01 0.23 0.12
 -------- 02:00 0.11 ---- 0.23 0.10
 12.10.12 03:00 0.07 0.01 0.21 0.09
 -------- 04:00 0.07 0.01 0.20 0.10
 -------- 05:00 0.16 ---- 0.22 0.25
 -------- 06:00 0.29 0.01 0.26 0.52
 -------- 07:00 0.49 0.01 0.26 0.54
 12.10.12 08:00 0.72 0.01 0.28 0.62
 -------- 09:00 0.81 0.01 0.33 0.93
 -------- 10:00 0.59 0.01 0.38 0.85
 -------- 11:00 0.39 0.01 0.41 0.69
 -------- 12:00 0.25 0.01 0.38 0.46
 12.10.12 13:00 0.13 0.01 0.43 0.31
 -------- 14:00 0.15 0.01 0.46 0.32
 -------- 15:00 0.09 0.01 0.37 0.19
 -------- 16:00 0.12 0.01 0.31 0.25
 -------- 17:00 0.09 0.01 0.28 0.17
 12.10.12 18:00 0.08 0.01 0.23 0.18
 -------- 19:00 0.09 ---- 0.24 0.15
 -------- 20:00 0.07 0.01 0.28 0.20
 -------- 21:00 0.04 0.01 0.27 0.14
 -------- 22:00 0.15 0.01 0.24 0.13
 12.10.12 23:00 0.07 0.01 0.20 0.03
 -------- 00:00 0.05 0.05 0.17 0.02
 -------- 01:00 0.04 0.08 0.16 0.02
 -------- 02:00 0.04 0.09 0.14 0.01
 -------- 03:00 0.04 0.09 0.13 0.02
 13.10.12 04:00 0.05 0.09 0.12 0.02
 -------- 05:00 0.06 0.08 0.11 0.03
 -------- 06:00 0.06 0.07 0.14 0.03
 -------- 07:00 0.07 0.05 0.16 0.05
 -------- 08:00 0.10 0.03 0.17 0.05
 13.10.12 09:00 0.09 0.04 0.17 0.06
 -------- 10:00 0.12 0.05 0.19 0.08
 -------- 11:00 0.13 0.07 0.20 0.09
