 Date Time CO OZ NO2 NO
 26.01.13 12:00 0.21 0.04 0.33 0.21
 -------- 13:00 0.18 0.06 0.31 0.18
 -------- 14:00 0.17 0.07 0.30 0.16
 -------- 15:00 0.19 0.06 0.30 0.17
 -------- 16:00 0.13 0.06 0.31 0.16
 26.01.13 17:00 0.17 0.05 0.33 0.15
 -------- 18:00 0.16 0.03 0.33 0.15
 -------- 19:00 0.13 0.01 0.35 0.12
 -------- 20:00 0.15 0.01 0.34 0.13
 -------- 21:00 0.18 0.01 0.35 0.15
 26.01.13 22:00 0.12 0.03 0.29 0.09
 -------- 23:00 0.09 0.07 0.25 0.07
 -------- 00:00 0.09 0.06 0.25 0.07
 -------- 01:00 0.12 0.08 0.25 0.05
 -------- 02:00 0.07 0.07 0.24 0.04
 27.01.13 03:00 0.07 0.10 0.23 0.03
 -------- 04:00 0.06 0.13 0.21 0.03
 -------- 05:00 0.05 0.14 0.22 0.02
 -------- 06:00 0.06 0.09 0.26 0.03
 -------- 07:00 0.06 0.08 0.29 0.06
 27.01.13 08:00 0.09 0.06 0.31 0.07
 -------- 09:00 0.11 0.02 0.34 0.10
 -------- 10:00 0.11 0.07 0.26 0.09
 -------- 11:00 0.11 0.08 0.27 0.11
 -------- 12:00 0.09 0.09 0.27 0.12
 27.01.13 13:00 0.13 0.11 0.26 0.12
 -------- 14:00 0.12 0.17 0.21 0.09
 -------- 15:00 0.11 0.17 0.20 0.08
 -------- 16:00 0.13 0.11 0.27 0.11
 -------- 17:00 0.21 0.04 0.33 0.17
 27.01.13 18:00 1.47 0.01 0.38 0.16
 -------- 19:00 0.32 0.01 0.39 0.23
 -------- 20:00 0.25 0.01 0.38 0.20
 -------- 21:00 0.33 0.01 0.42 0.35
 -------- 22:00 0.23 0.01 0.42 0.35
 27.01.13 23:00 0.24 0.01 0.41 0.31
 -------- 00:00 0.17 0.01 0.40 0.26
 -------- 01:00 0.13 0.01 0.38 0.20
 -------- 02:00 0.10 0.01 0.36 0.15
 -------- 03:00 0.07 0.01 0.35 0.12
 28.01.13 04:00 0.04 0.01 0.33 0.07
 -------- 05:00 0.02 0.01 0.33 0.07
 -------- 06:00 0.08 0.01 0.34 0.09
 -------- 07:00 0.06 0.01 0.33 0.11
 -------- 08:00 0.11 0.01 0.35 0.17
 28.01.13 09:00 0.17 0.01 0.38 0.19
 -------- 10:00 0.16 0.01 0.37 0.18
 -------- 11:00 0.14 0.01 0.37 0.22
 -------- 12:00 0.14 0.01 0.37 0.21
