 Date Time CO OZ NO2 NO
 23.10.12 22:00 0.10 0.01 0.28 0.07
 -------- 23:00 0.08 0.01 0.29 0.07
 -------- 00:00 0.06 0.01 0.27 0.05
 -------- 01:00 0.06 0.01 0.25 0.05
 -------- 02:00 0.05 0.01 0.23 0.04
 24.10.12 03:00 0.04 0.01 0.20 0.02
 -------- 04:00 0.06 0.01 0.19 0.01
 -------- 05:00 0.04 0.01 0.19 0.02
 -------- 06:00 0.05 ---- 0.20 0.04
 -------- 07:00 0.08 0.01 0.19 0.07
 24.10.12 08:00 0.16 0.01 0.23 0.17
 -------- 09:00 0.13 0.01 0.22 0.15
 -------- 10:00 0.11 0.01 0.20 0.12
 -------- 11:00 0.10 0.04 0.20 0.10
 -------- 12:00 0.10 0.07 0.21 0.09
 24.10.12 13:00 0.10 0.06 0.20 0.07
 -------- 14:00 0.11 0.05 0.23 0.10
 -------- 15:00 0.13 0.03 0.23 0.13
 -------- 16:00 0.11 0.03 0.22 0.10
 -------- 17:00 0.10 0.06 0.19 0.08
 24.10.12 18:00 0.11 0.08 0.20 0.07
 -------- 19:00 0.09 0.09 0.21 0.07
 -------- 20:00 0.11 0.04 0.27 0.10
 -------- 21:00 0.12 0.03 0.26 0.08
 -------- 22:00 0.11 0.04 0.26 0.08
 24.10.12 23:00 0.11 0.03 0.26 0.09
 -------- 00:00 0.07 0.05 0.25 0.06
 -------- 01:00 0.04 0.07 0.19 0.03
 -------- 02:00 0.03 0.11 0.15 0.02
 -------- 03:00 0.02 0.13 0.14 0.01
 25.10.12 04:00 0.03 0.09 0.18 0.02
 -------- 05:00 0.03 0.09 0.17 0.02
 -------- 06:00 0.06 0.06 0.21 0.05
 -------- 07:00 0.11 0.04 0.24 0.10
 -------- 08:00 0.14 0.03 0.26 0.13
 25.10.12 09:00 0.12 0.02 0.28 0.13
 -------- 10:00 0.13 0.04 0.28 0.12
 -------- 11:00 0.10 0.05 0.26 0.10
 -------- 12:00 0.13 0.06 0.26 0.10
 -------- 13:00 0.11 0.08 0.25 0.12
 25.10.12 14:00 0.10 0.08 0.25 0.11
 -------- 15:00 0.10 0.10 0.23 0.10
 -------- 16:00 0.12 0.09 0.24 0.09
 -------- 17:00 0.12 0.09 0.25 0.09
 -------- 18:00 0.11 0.11 0.23 0.09
 25.10.12 19:00 0.11 0.11 0.21 0.06
 -------- 20:00 0.11 0.14 0.19 0.07
 -------- 21:00 0.11 0.11 0.24 0.06
