 Date Time CO OZ NO2 NO
 25.11.12 00:00 0.12 0.01 0.28 0.28
 -------- 01:00 0.11 0.01 0.27 0.20
 -------- 02:00 0.09 0.01 0.25 0.15
 -------- 03:00 0.07 0.01 0.24 0.13
 -------- 04:00 0.04 0.01 0.23 0.10
 25.11.12 05:00 0.05 0.01 0.22 0.08
 -------- 06:00 0.06 0.01 0.25 0.10
 -------- 07:00 0.09 0.01 0.24 0.10
 -------- 08:00 0.09 0.01 0.23 0.10
 -------- 09:00 0.12 0.01 0.25 0.16
 25.11.12 10:00 0.09 0.01 0.25 0.13
 -------- 11:00 0.11 0.01 0.25 0.17
 -------- 12:00 0.13 0.01 0.26 0.22
 -------- 13:00 0.13 0.01 0.27 0.23
 -------- 14:00 0.11 0.01 0.25 0.18
 25.11.12 15:00 0.13 0.01 0.25 0.17
 -------- 16:00 0.13 0.01 0.26 0.20
 -------- 17:00 0.13 0.01 0.27 0.18
 -------- 18:00 0.13 0.01 0.25 0.13
 -------- 19:00 0.11 0.01 0.25 0.12
 25.11.12 20:00 0.09 0.01 0.25 0.12
 -------- 21:00 0.07 0.01 0.25 0.10
 -------- 22:00 0.06 0.01 0.25 0.09
 -------- 23:00 0.69 0.01 0.24 0.11
 -------- 00:00 0.09 0.01 0.23 0.07
 26.11.12 01:00 0.08 0.01 0.23 0.09
 -------- 02:00 0.06 0.01 0.23 0.07
 -------- 03:00 0.07 0.01 0.21 0.04
 -------- 04:00 0.06 0.01 0.20 0.04
 -------- 05:00 0.06 0.01 0.20 0.05
 26.11.12 06:00 0.10 0.01 0.21 0.09
 -------- 07:00 0.11 0.01 0.21 0.14
 -------- 08:00 0.14 0.01 0.21 0.17
 -------- 09:00 0.17 0.01 0.22 0.19
 -------- 10:00 0.19 0.01 0.23 0.23
 26.11.12 11:00 0.19 0.01 0.22 0.24
 -------- 12:00 0.15 0.01 0.23 0.28
 -------- 13:00 0.15 0.01 0.20 0.23
 -------- 14:00 0.15 0.01 0.19 0.25
 -------- 15:00 0.14 0.01 0.20 0.25
 26.11.12 16:00 0.13 0.01 0.19 0.22
 -------- 17:00 0.14 0.01 0.19 0.22
 -------- 18:00 0.09 0.01 0.16 0.14
 -------- 19:00 0.10 0.01 0.15 0.12
 -------- 20:00 0.11 0.01 0.14 0.13
 26.11.12 21:00 0.07 0.01 0.13 0.09
 -------- 22:00 0.10 0.01 0.13 0.11
 -------- 23:00 0.11 0.01 0.14 0.12
