 Date Time CO OZ NO2 NO
 21.11.12 00:00 0.06 0.15 0.13 0.03
 -------- 01:00 0.05 0.16 0.12 0.02
 -------- 02:00 0.05 0.19 0.09 0.02
 -------- 03:00 0.06 0.19 0.09 0.01
 -------- 04:00 0.06 0.18 0.09 0.02
 21.11.12 05:00 0.05 0.18 0.09 0.02
 -------- 06:00 0.08 0.15 0.14 0.03
 -------- 07:00 0.12 0.05 0.25 0.09
 -------- 08:00 0.17 0.01 0.29 0.14
 -------- 09:00 0.20 0.01 0.29 0.21
 21.11.12 10:00 0.19 0.01 0.29 0.21
 -------- 11:00 0.17 0.01 0.25 0.18
 -------- 12:00 0.13 0.01 0.25 0.18
 -------- 13:00 0.17 0.01 0.25 0.20
 -------- 14:00 0.16 0.01 0.23 0.19
 21.11.12 15:00 0.17 0.01 0.24 0.22
 -------- 16:00 0.21 0.01 0.25 0.27
 -------- 17:00 0.17 0.01 0.23 0.22
 -------- 18:00 0.18 0.01 0.23 0.20
 -------- 19:00 0.15 0.01 0.25 0.13
 21.11.12 20:00 0.12 0.02 0.24 0.10
 -------- 21:00 0.16 0.01 0.26 0.15
 -------- 22:00 0.18 0.01 0.27 0.15
 -------- 23:00 0.13 0.01 0.25 0.10
 -------- 00:00 0.07 0.02 0.23 0.06
 22.11.12 01:00 0.07 0.02 0.21 0.06
 -------- 02:00 0.05 0.03 0.19 0.03
 -------- 03:00 0.05 0.02 0.20 0.04
 -------- 04:00 0.04 0.02 0.19 0.02
 -------- 05:00 0.05 0.01 0.19 0.04
 22.11.12 06:00 0.07 0.02 0.19 0.09
 -------- 07:00 0.12 0.01 0.21 0.12
 -------- 08:00 0.13 0.01 0.23 0.17
 -------- 09:00 0.21 0.01 0.25 0.26
 -------- 10:00 0.24 0.01 0.28 0.29
 22.11.12 11:00 0.21 0.01 0.28 0.27
 -------- 12:00 0.18 0.01 0.28 0.22
 -------- 13:00 0.14 0.04 0.31 0.15
 -------- 14:00 0.12 0.09 0.28 0.10
 -------- 15:00 0.13 0.07 0.32 0.13
 22.11.12 16:00 0.17 0.04 0.36 0.17
 -------- 17:00 0.18 0.06 0.34 0.13
 -------- 18:00 0.11 0.07 0.34 0.11
 -------- 19:00 0.13 0.12 0.31 0.10
 -------- 20:00 0.09 0.17 0.24 0.06
 22.11.12 21:00 0.08 0.18 0.21 0.06
 -------- 22:00 0.07 0.18 0.18 0.04
 -------- 23:00 0.06 0.18 0.18 0.05
