 Date Time CO OZ NO2 NO
 15.04.13 12:00 0.06 0.30 0.35 0.06
 -------- 13:00 0.07 0.31 0.38 0.05
 -------- 14:00 0.07 0.31 0.40 0.06
 -------- 15:00 0.06 0.31 0.40 0.05
 -------- 16:00 0.05 0.30 0.41 0.06
 15.04.13 17:00 0.05 0.38 0.34 0.04
 -------- 18:00 0.07 0.39 0.33 0.05
 -------- 19:00 0.10 0.32 0.41 0.06
 -------- 20:00 0.13 0.17 0.53 0.05
 -------- 21:00 0.09 0.15 0.54 0.02
 15.04.13 22:00 0.13 0.08 0.61 0.02
 -------- 23:00 0.17 0.01 0.69 0.10
 -------- 00:00 0.34 0.01 0.72 0.32
 -------- 01:00 0.25 0.01 0.69 0.24
 -------- 02:00 0.13 0.02 0.62 0.07
 16.04.13 03:00 0.09 0.10 0.51 0.06
 -------- 04:00 0.05 0.26 0.37 0.03
 -------- 05:00 0.08 0.18 0.44 0.10
 -------- 06:00 0.14 0.15 0.50 0.13
 -------- 07:00 0.33 0.01 0.67 0.45
 16.04.13 08:00 0.23 0.03 0.62 0.23
 -------- 09:00 0.19 0.09 0.55 0.17
 -------- 10:00 0.16 0.15 0.52 0.12
 -------- 11:00 0.16 0.15 0.54 0.12
 -------- 12:00 0.13 0.17 0.47 0.10
 16.04.13 13:00 0.08 0.39 0.26 0.04
 -------- 14:00 0.05 0.47 0.20 0.04
 -------- 15:00 0.09 0.53 0.18 0.04
 -------- 16:00 0.02 0.54 0.13 0.03
 -------- 17:00 0.02 0.55 0.13 0.02
 16.04.13 18:00 0.02 0.55 0.14 0.02
 -------- 19:00 0.02 0.52 0.16 0.02
 -------- 20:00 0.03 0.46 0.20 0.02
 -------- 21:00 0.03 0.37 0.26 0.03
 -------- 22:00 0.05 0.31 0.29 0.02
 16.04.13 23:00 0.09 0.19 0.38 0.05
 -------- 00:00 0.16 0.10 0.43 0.08
 -------- 01:00 0.07 0.27 0.25 0.02
 -------- 02:00 0.07 0.29 0.23 0.01
 -------- 03:00 0.08 0.20 0.32 0.05
 17.04.13 04:00 0.19 0.01 0.48 0.32
 -------- 05:00 0.29 0.01 0.51 0.39
 -------- 06:00 0.43 0.01 0.58 0.92
 -------- 07:00 0.87 0.01 0.75 1.44
 -------- 08:00 0.41 0.01 0.56 0.44
 17.04.13 09:00 0.24 0.03 0.52 0.25
 -------- 10:00 0.17 0.07 0.46 0.16
 -------- 11:00 0.15 0.14 0.38 0.11
