 Date Time CO OZ NO2 NO
 06.02.13 12:00 0.06 0.07 0.30 0.12
 -------- 13:00 0.02 0.08 0.29 0.11
 -------- 14:00 ---- 0.11 0.28 0.10
 -------- 15:00 ---- 0.07 0.32 0.09
 -------- 16:00 ---- 0.06 0.33 0.08
 06.02.13 17:00 ---- 0.05 0.33 0.06
 -------- 18:00 ---- 0.06 0.31 0.07
 -------- 19:00 ---- 0.11 0.23 0.05
 -------- 20:00 ---- 0.10 0.23 0.06
 -------- 21:00 ---- 0.05 0.26 0.07
 06.02.13 22:00 ---- 0.05 0.25 0.06
 -------- 23:00 0.02 0.05 0.26 0.06
 -------- 00:00 ---- 0.05 0.25 0.04
 -------- 01:00 ---- 0.07 0.24 0.03
 -------- 02:00 ---- 0.02 0.28 0.03
 07.02.13 03:00 ---- 0.09 0.21 0.02
 -------- 04:00 ---- 0.18 0.13 0.02
 -------- 05:00 ---- 0.18 0.13 0.02
 -------- 06:00 ---- 0.20 0.14 0.02
 -------- 07:00 ---- 0.06 0.23 0.03
 07.02.13 08:00 ---- 0.06 0.23 0.07
 -------- 09:00 0.02 0.04 0.26 0.09
 -------- 10:00 0.02 0.04 0.26 0.08
 -------- 11:00 0.02 0.05 0.23 0.09
 -------- 12:00 0.02 0.08 0.22 0.07
 07.02.13 13:00 ---- 0.07 0.25 0.10
 -------- 14:00 ---- 0.06 0.25 0.09
 -------- 15:00 ---- 0.07 0.26 0.07
 -------- 16:00 0.10 0.06 0.25 0.08
 -------- 17:00 0.06 0.02 0.26 0.06
 07.02.13 18:00 0.03 0.04 0.23 0.04
 -------- 19:00 0.09 0.06 0.20 0.05
 -------- 20:00 0.04 0.05 0.21 0.04
 -------- 21:00 0.05 0.04 0.21 0.04
 -------- 22:00 0.05 0.05 0.18 0.04
 07.02.13 23:00 0.04 0.05 0.19 0.03
 -------- 00:00 0.02 0.05 0.18 0.03
 -------- 01:00 0.02 0.05 0.18 0.02
 -------- 02:00 0.05 0.04 0.19 0.03
 -------- 03:00 0.06 0.05 0.18 0.02
 08.02.13 04:00 0.06 0.07 0.17 0.01
 -------- 05:00 0.06 0.05 0.20 0.02
 -------- 06:00 0.07 0.05 0.20 0.03
 -------- 07:00 0.08 0.03 0.24 0.04
 -------- 08:00 0.11 0.02 0.24 0.05
 08.02.13 09:00 0.17 0.02 0.26 0.05
 -------- 10:00 0.09 0.01 0.25 0.06
 -------- 11:00 0.09 0.02 0.25 0.06
 -------- 12:00 0.12 0.02 0.26 0.07
