 Date Time CO OZ NO2 NO
 12.02.13 00:00 0.05 0.01 0.17 0.03
 -------- 01:00 0.04 0.01 0.17 0.03
 -------- 02:00 0.04 0.05 0.13 0.02
 -------- 03:00 0.02 0.08 0.13 0.02
 -------- 04:00 0.02 0.13 0.11 0.01
 12.02.13 05:00 0.03 0.11 0.15 0.01
 -------- 06:00 0.04 0.08 0.14 0.02
 -------- 07:00 0.07 0.06 0.14 0.02
 -------- 08:00 0.06 0.06 0.13 0.02
 -------- 09:00 0.07 0.04 0.13 0.03
 12.02.13 10:00 0.07 0.04 0.14 0.03
 -------- 11:00 0.09 0.07 0.12 0.03
 -------- 12:00 0.05 0.14 0.10 0.02
 -------- 13:00 0.04 0.17 0.10 0.02
 -------- 14:00 0.02 0.21 0.11 0.01
 12.02.13 15:00 0.03 0.20 0.12 0.01
 -------- 16:00 0.05 0.18 0.14 0.01
 -------- 17:00 0.07 0.19 0.12 0.01
 -------- 18:00 0.06 0.23 0.07 0.01
 -------- 19:00 0.06 0.23 0.11 0.01
 12.02.13 20:00 0.06 0.23 0.12 0.01
 -------- 21:00 0.06 0.23 0.12 0.01
 -------- 22:00 0.05 0.23 0.11 0.02
 -------- 23:00 0.06 0.22 0.10 0.01
 -------- 00:00 0.04 0.21 0.09 0.01
 13.02.13 01:00 0.02 0.20 0.09 0.01
 -------- 02:00 0.02 0.18 0.10 0.01
 -------- 03:00 ---- 0.17 0.10 0.01
 -------- 04:00 0.02 0.15 0.11 0.01
 -------- 05:00 0.02 0.11 0.14 0.01
 13.02.13 06:00 0.02 0.09 0.15 0.01
 -------- 07:00 0.03 0.04 0.21 0.02
 -------- 08:00 0.07 0.01 0.25 0.06
 -------- 09:00 0.08 0.01 0.25 0.07
 -------- 10:00 0.08 0.01 0.25 0.08
 13.02.13 11:00 0.08 0.02 0.27 0.10
 -------- 12:00 0.11 0.06 0.27 0.08
 -------- 13:00 0.07 0.07 0.26 0.08
 -------- 14:00 0.05 0.13 0.19 0.04
 -------- 15:00 0.04 0.16 0.17 0.03
 13.02.13 16:00 0.05 0.15 0.21 0.04
 -------- 17:00 0.04 0.18 0.17 0.02
 -------- 18:00 0.05 0.18 0.18 0.02
 -------- 19:00 0.04 0.17 0.18 0.02
 -------- 20:00 0.04 0.16 0.19 0.02
 13.02.13 21:00 0.07 0.12 0.25 0.02
 -------- 22:00 0.09 0.04 0.30 0.04
 -------- 23:00 0.05 0.14 0.21 0.02
 -------- 00:00 0.04 0.14 0.21 0.01
